problem_id,content,option,answer,score,type,typetext,location,context_id,exercise_id,language
Pm_3738,以下最有可能涉及代价敏感分类问题的是：,"{'A': '区分猫狗图片', 'B': '社交网络好友推荐', 'C': '手写体识别', 'D': '银行信用卡评分模型'}","[""D""]",1.0,1,单选题,1.8,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2975,Chinese
Pm_3739,假设目标客户占人群的5%，现根据用户模型进行打分排序，取1000名潜在客户中排名前10%的客户，发现其中包含25名目标客户，问此模型在10%处的提升度是多少？,"{'A': '5', 'B': '4', 'C': '3', 'D': '2'}","[""A""]",1.0,1,单选题,1.8,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2975,Chinese
Pm_3740,聚类与分类的主要区别在于：,"{'A': '数据维度不同', 'B': '数据类型不同', 'C': '数据有无标签', 'D': '计算复杂度不同'}","[""C""]",1.0,1,单选题,1.10,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2976,Chinese
Pm_3741,线性回归模型由于自身的局限性只能描述变量间的线性关系。,"{'true': '正确', 'false': '错误'}","[""false""]",1.0,6,判断题,1.10,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2976,Chinese
Pm_3742,GPU作为高性能计算设备的优点包括：,"{'A': '低成本', 'B': '高计算密度', 'C': '可独立使用', 'D': '安装便捷'}","[""A"", ""B"", ""D""]",2.0,2,多选题,1.12,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2977,Chinese
Pm_3743,有效的数据挖掘工作需要哪些因素的支持？,"{'A': '高质量的数据', 'B': '合适的算法模型', 'C': '强悍的计算平台', 'D': '丰富的领域知识'}","[""A"", ""B"", ""C"", ""D""]",2.0,2,多选题,1.12,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2977,Chinese
Pm_3744,在互联网时代，个人隐私信息的现状是：,"{'A': '没有人知道我是一条狗', 'B': '只要自己平时注意，还是妥妥的', 'C': '可能偶尔会泄露', 'D': '裸奔，必须的'}","[""D""]",1.0,1,单选题,1.12,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2977,Chinese
Pm_3745,如何才能最有效采集到用户可能不愿公开提供的信息？,"{'A': '晓之以理，动之以情', 'B': '威逼利诱，瞒天过海', 'C': '隐匿用户身份', 'D': '随机问卷题目'}","[""D""]",1.0,1,单选题,1.12,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2977,Chinese
Pm_3746,在隐私保护的问卷调查中，针对两个互补问题，用户也可用Yes/No回答，与用True/False本质上是一样的。,"{'true': '正确', 'false': '错误'}","[""false""]",1.0,6,判断题,1.12,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2977,Chinese
Pm_3747,以下哪条描述体现了并行计算的思想？,"{'A': '子又生孙，孙又生子，子又有子，子又有孙，子子孙孙无穷匮也', 'B': '人多力量大，众人划桨开大船', 'C': '书山有路勤为径，学海无涯苦作舟', 'D': '不积跬步，无以至千里，不积小流，无以成江海'}","[""B""]",1.0,1,单选题,1.12,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2977,Chinese
Pm_3748,云计算的核心特征是什么？,"{'A': 'Pay As You Go', 'B': '看云卷云舒', 'C': '服务器集群', 'D': '网络化服务'}","[""A""]",1.0,1,单选题,1.12,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2977,Chinese
Pm_3749,云计算领域中的SaaS指的是：,"{'A': '平台即服务', 'B': '基础设施即服务', 'C': '软件即服务'}","[""C""]",1.0,1,单选题,1.12,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2977,Chinese
Pm_3750,短期股票价格波动难以精准预测的主要原因在于现有模型本身不够精密。,"{'true': '正确', 'false': '错误'}","[""false""]",1.0,6,判断题,1.14,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2978,Chinese
Pm_3751,彩票号码难以预测的原因在于：,"{'A': '数据样本不够大', 'B': '号码的纯随机性', 'C': '现有模型不够复杂', 'D': '特征维度太高'}","[""B""]",1.0,1,单选题,1.14,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2978,Chinese
Pm_3752,以下哪条描述最贴近幸存者偏差现象？,"{'A': '成王败寇', 'B': '盲人摸象', 'C': '赢者通吃', 'D': '真理往往掌握在少数人手里'}","[""B""]",1.0,1,单选题,1.14,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2978,Chinese
Pm_3753,两个变量X和Y呈现负相关性，说明：,"{'A': 'X增大会导致Y减小', 'B': 'X减小会导致Y增大', 'C': 'X增大不会导致Y增大', 'D': '然而并不能说明什么'}","[""D""]",1.0,1,单选题,1.14,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2978,Chinese
Pm_3754,知名企业的CEO中身材高大者的比例高于人口平均水平，这是因为：,"{'A': '身材高大者智商高', 'B': '身材高大者情商高', 'C': '身材高大者工作更努力', 'D': '身材高大者容易树立威信'}","[""D""]",1.0,1,单选题,1.14,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2978,Chinese
Pm_3755,针对数据挖掘领域，以下哪个观点是正确的：,"{'A': '数据=财富', 'B': 'You cannot be too careful!', 'C': '算法为王', 'D': '神秘莫测，高不可攀'}","[""B""]",1.0,1,单选题,1.14,"[896111, 6404452, 896115, 896117, 896119, 6388401, 6388403, 6388405, 896127]",Ex_2978,Chinese
Pm_3756,以下关于数据预处理的描述正确的是：,"{'A': '需要借助领域知识', 'B': '核心内容就是缺失数据填充', 'C': '数据挖掘工作的基础性工作', 'D': '主要靠标准化算法自动处理'}","[""A"", ""C""]",2.0,2,多选题,2.1,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2990,Chinese
Pm_3757,小张的个人信息中身份证号倒数第二位是单数，性别为女。这种情况被称为：,"{'A': 'Missing Data', 'B': 'Inconsistent Data', 'C': 'Noisy Data', 'D': 'Redundant Data'}","[""B""]",1.0,1,单选题,2.1,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2990,Chinese
Pm_3758,学生小明在调查问卷中没有回答下述问题：“你去年的工资收入和前年相比是否有所增加？” 对这种情况最恰当的描述是：,"{'A': '完全随机缺失', 'B': 'N/A', 'C': '数据未提供', 'D': '异常数据'}","[""B""]",1.0,1,单选题,2.1,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2990,Chinese
Pm_3759,以下针对缺失值问题的阐述正确的是：,"{'A': '删就一个字', 'B': '用均值填充即可', 'C': '用中位数填充即可', 'D': '具体问题具体分析'}","[""D""]",1.0,1,单选题,2.1,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2990,Chinese
Pm_3760,某大一男生体检数据中体重值缺失，相对合理的填充值是：,"{'A': '40公斤', 'B': '60公斤', 'C': '80公斤', 'D': '100公斤'}","[""B""]",1.0,1,单选题,2.1,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2990,Chinese
Pm_3761,假设男生用1表示，女生用0表示，某人的性别未填，应该如何处理？,"{'A': '填1', 'B': '填0', 'C': '填均值0.5，必须的', 'D': '可根据其它信息（如身高、体重）推测'}","[""D""]",1.0,1,单选题,2.1,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2990,Chinese
Pm_3762,以下关于离群点（Outlier）和异常点（Anomaly）关系的论述正确的是：,"{'A': '一回事，说法不同而已', 'B': '离群点一定是异常点', 'C': '异常点一定是离群点', 'D': '不能简单判定'}","[""D""]",1.0,1,单选题,2.1,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2990,Chinese
Pm_3763,关于离群点的判定：,"{'A': '主要看其与近邻的平均距离', 'B': '主要看其与近邻的最大距离', 'C': '需要考虑相对距离因素', 'D': '主要靠感觉'}","[""C""]",1.0,1,单选题,2.3,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2991,Chinese
Pm_3764,采用LOF方法进行离群点检测时：,"{'A': 'LOF值越小越疑似离群点', 'B': 'LOF值越大越疑似离群点', 'C': 'LOF值越接近1越疑似离群点', 'D': 'LOF值越接近0.5越疑似离群点'}","[""B""]",1.0,1,单选题,2.3,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2991,Chinese
Pm_3765,Case A：两人名字不同，身份证号相同。Case B：两人同名同姓，身份证号不同。,"{'A': 'A为重复数据可能性大', 'B': 'B为重复数据可能性大', 'C': '我读书少，看不出什么区别'}","[""A""]",1.0,1,单选题,2.3,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2991,Chinese
Pm_3766,在记录手机号码的时候，相对而言：,"{'A': '前三位不容易记错', 'B': '末尾三位不容易记错', 'C': '中间三位不容易记错', 'D': '都一样'}","[""A""]",1.0,1,单选题,2.3,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2991,Chinese
Pm_3767,在记录英语国家人名时：,"{'A': '姓容易写错', 'B': '名容易写错', 'C': '没有明显区别'}","[""A""]",1.0,1,单选题,2.3,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2991,Chinese
Pm_3768,对英语国家的人群而言：,"{'A': '姓的区分度大', 'B': '名的区分度大', 'C': '没有明显区别'}","[""A""]",1.0,1,单选题,2.3,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2991,Chinese
Pm_3769,"按A, B, C, D打分的考试成绩数据属于：","{'A': '数值型（连续）', 'B': '数值型（离散）', 'C': '序数型（Ordinal）', 'D': '标称型（Nominal）', 'E': '字符串'}","[""C""]",1.0,1,单选题,2.5,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2992,Chinese
Pm_3770,在对标称型数据（如颜色、职业等）进行编码时：,"{'A': '按1,2,3,4...顺序编码即可', 'B': '类别较少时，可考虑采用扩维法', 'C': '不同编码可能会影响数据的空间分布', 'D': '不好处理，删了算了'}","[""B"", ""C""]",2.0,2,多选题,2.5,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2992,Chinese
Pm_3771,在大数据分析中，利用采样技术可以：,"{'A': '降低获取数据的成本', 'B': '减少需要处理的数据量', 'C': '有助于处理不平衡数据', 'D': '提高数据的稳定性'}","[""B"", ""C"", ""D""]",2.0,2,多选题,2.5,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2992,Chinese
Pm_3772,对于极度不平衡的二分类数据集，应特别注意：,"{'A': '整体的准确率', 'B': '多数类样本的准确率', 'C': '少数类样本的准确率', 'D': '两类样本准确率的均值'}","[""C""]",1.0,1,单选题,2.5,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2992,Chinese
Pm_3773,SMOTE的工作原理是：,"{'A': '对多数类样本进行下采样', 'B': '对少数类样本进行克隆复制', 'C': '对少数类样本通过插值进行上采样', 'D': '对整体样本进行随机采样'}","[""C""]",1.0,1,单选题,2.5,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2992,Chinese
Pm_3774,很多人感觉到自己的收入与官方公布的平均收入相去甚远，最有可能的解释是：,"{'A': '自己工作不够努力，怨不得别人', 'B': '统计样本不具有代表性', 'C': '个体收入分布极度不均衡', 'D': '错觉，都是错觉'}","[""C""]",1.0,1,单选题,2.7,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2993,Chinese
Pm_3775,Pearson’s product moment correlation coefficient 可用来判断：,"{'A': 'X和Y是否正相关', 'B': 'X和Y是否负相关', 'C': 'X和Y是否不相关', 'D': 'X和Y之间的因果关系'}","[""A"", ""B""]",2.0,2,多选题,2.7,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2993,Chinese
Pm_3776,在Box Plots当中，一个盒子越扁说明在该维度上：,"{'A': '25%到75%之间的数据分布较为集中', 'B': '25%到75%之间的数据分布较为分散', 'C': '离群点较少', 'D': '离群点较多'}","[""A""]",1.0,1,单选题,2.7,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2993,Chinese
Pm_3777,适合可视化高维数据的方法是：,"{'A': '圆饼图', 'B': '散点图', 'C': '平行坐标', 'D': '直方图'}","[""C""]",1.0,1,单选题,2.7,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2993,Chinese
Pm_3778,数据可视化工作：,"{'A': '锦上添花，可有可无', 'B': '不学就懂，一看就会', 'C': '主要用于展示最终结果', 'D': '贯穿数据挖掘工作全过程'}","[""D""]",1.0,1,单选题,2.7,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2993,Chinese
Pm_3779,熵衡量的是系统的不确定性，熵值越大（接近于1）说明系统的不确定性越低。,"{'true': '正确', 'false': '错误'}","[""false""]",1.0,6,判断题,2.9,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2994,Chinese
Pm_3780,假设某数据集的原始熵值为0.7， 已知某属性的信息增益为0.2，那么利用该属性进行划分后数据集的熵值为：,"{'A': '0.9', 'B': '0.7', 'C': '0.5', 'D': '0.2'}","[""C""]",1.0,1,单选题,2.9,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2994,Chinese
Pm_3781,以下方法中可以确保获得最优属性子集的是：,"{'A': 'Top K Individual Features', 'B': 'Sequential Forward Selection', 'C': 'Sequential Backward Selection', 'D': 'Simulated Annealing', 'E': 'Exhaustive Search'}","[""E""]",1.0,1,单选题,2.9,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2994,Chinese
Pm_3782,关于分支定界法不正确的描述是：,"{'A': '树状搜索算法', 'B': '随机搜索算法', 'C': '依赖属性的单调性假设', 'D': '能够减少搜索空间'}","[""B""]",1.0,1,单选题,2.9,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2994,Chinese
Pm_3783,进行属性选择的原因是：,"{'A': '属性可能存在冗余', 'B': '属性可能存在噪声', 'C': '降低问题复杂度', 'D': '个人喜好'}","[""A"", ""B"", ""C""]",2.0,2,多选题,2.9,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2994,Chinese
Pm_3784,特征选择与特征提取的关系是：,"{'A': '特征提取包含特征选择', 'B': '特征选择包含特征提取', 'C': '一码事，说法不同而已', 'D': 'It is like comparing apples and oranges.'}","[""A""]",1.0,1,单选题,2.11,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2995,Chinese
Pm_3785,平面图中的老鹰能够被人们识别的原因是：,"{'A': '体积大', 'B': '为人所熟知', 'C': '长得有个性', 'D': '观察角度合适'}","[""D""]",1.0,1,单选题,2.11,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2995,Chinese
Pm_3786,在PCA变换中，应尽量把数据向什么方向投影：,"{'A': '数据集中的方向', 'B': '数据散布大的方向', 'C': '数据分组特征明显的方向', 'D': '平行于原始坐标轴的方向'}","[""B""]",1.0,1,单选题,2.11,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2995,Chinese
Pm_3787,PCA变换中不包含以下哪一种操作：,"{'A': '去均值', 'B': '矩阵特征值分解', 'C': '属性值标准化', 'D': '坐标变换'}","[""C""]",1.0,1,单选题,2.11,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2995,Chinese
Pm_3788,假设样本数大于维数，利用PCA技术，可以把N维数据降到：,"{'A': '只能到1维', 'B': '只能到N-1维', 'C': '1到N-1维', 'D': '取决于样本的类别数'}","[""C""]",1.0,1,单选题,2.11,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2995,Chinese
Pm_3789,如果将PCA应用于带标签的分类数据：,"{'A': '程序直接崩溃', 'B': '效果杠杠的', 'C': '驴唇不对马嘴', 'D': '视情况而定'}","[""D""]",1.0,1,单选题,2.13,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2996,Chinese
Pm_3790,LDA与PCA最本质的区别是：,"{'A': '能够降到的维数不同', 'B': '计算效率不同', 'C': '降维的目标不同', 'D': '我读书少，看不出来'}","[""C""]",1.0,1,单选题,2.13,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2996,Chinese
Pm_3791,当样本个数小于数据维数的时候，LDA不能正常工作的原因是：,"{'A': '类间散布矩阵不满秩', 'B': '类内散布矩阵不满秩', 'C': '计算量过高', 'D': 'Fisher准则无意义'}","[""B""]",1.0,1,单选题,2.13,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2996,Chinese
Pm_3792,当类中心重合的时候，LDA不能正常工作的原因是：,"{'A': 'Fisher准则函数分母为零', 'B': '类内散布矩阵奇异', 'C': 'Fisher准则函数恒等于零', 'D': '类间散布矩阵满秩'}","[""C""]",1.0,1,单选题,2.13,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2996,Chinese
Pm_3793,对于二分类问题，LDA只能将原始数据降到1维的原因是：,"{'A': '类间散布矩阵秩为1', 'B': '类内散布矩阵秩为1', 'C': '原始数据维度过高', 'D': '原始数据维度过低'}","[""A""]",1.0,1,单选题,2.13,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2996,Chinese
Pm_3794,关于LDA和PCA投影方向描述正确的是：,"{'A': '必然相同', 'B': '必然不同', 'C': 'LDA总是优于PCA', 'D': '世事难料'}","[""D""]",1.0,1,单选题,2.13,"[896130, 896132, 896134, 896136, 896138, 896140, 896142, 896143, 6388425]",Ex_2996,Chinese
Pm_3795,有监督的学习和无监督的学习的根本区别在于：,"{'A': '学习过程是否需要人工干预', 'B': '学习样本是否需要人工标记', 'C': '学习结果是否需要人工解释', 'D': '学习参数是否需要人工设置'}","[""B""]",1.0,1,单选题,3.1,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3004,Chinese
Pm_3796,已知池中有两种鱼，比例为7:3，若随机捞上一条，按照70%和30%概率随机猜测其种类，则整体误差最接近于：,"{'A': '20%', 'B': '30%', 'C': '40%', 'D': '50%'}","[""C""]",1.0,1,单选题,3.1,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3004,Chinese
Pm_3797,2015年10月，中国共产党第十八届中央委员会第五次全体会议公报指出：坚持计划生育基本国策，积极开展应对人口老龄化行动，实施全面二孩政策。提问：小明的妈妈有两个孩子，已知其中一个是男孩儿，问另一个也是男孩儿的概率是：,"{'A': '二分之一', 'B': '三分之一', 'C': '四分之一', 'D': '真的不关我的事'}","[""B""]",1.0,1,单选题,3.1,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3004,Chinese
Pm_3798,已知甲乙丙三人射击命中率分别为0.8，0.6和0.5，若每人各开一枪，则目标被命中的概率最接近：,"{'A': '0.85', 'B': '0.90', 'C': '0.95', 'D': '1.00'}","[""C""]",1.0,1,单选题,3.1,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3004,Chinese
Pm_3799,当化验报告呈阳性的时候，正确的做法是：,"{'A': '心如死灰，万念俱灭', 'B': '散尽家财，及时行乐', 'C': '置若罔闻，我行我素', 'D': '及时复检，防止假阳性'}","[""D""]",1.0,1,单选题,3.1,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3004,Chinese
Pm_3800,朴素贝叶斯分类器的朴素之处在于：,"{'A': '只能处理低维属性', 'B': '只能处理离散型属性', 'C': '分类效果一般', 'D': '属性之间的条件独立性假设'}","[""D""]",1.0,1,单选题,3.3,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3005,Chinese
Pm_3801,以下关于两个变量X和Y说法正确的是：,"{'A': '若独立一定不相关', 'B': '若不相关一定独立', 'C': '若独立不一定不相关', 'D': '我已经晕了'}","[""A""]",1.0,1,单选题,3.3,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3005,Chinese
Pm_3802,两个事件A和B条件独立指的是：,"{'A': 'P(A, B)=P(A)P(B)', 'B': 'P(A, B)=P(A|B)P(B)', 'C': 'P(A|B, C)=P(A|C)', 'D': 'P(A|B)=P(A)'}","[""C""]",1.0,1,单选题,3.3,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3005,Chinese
Pm_3803,以下关于拉普拉斯平滑说法正确的是：,"{'A': '防止计算条件概率时分母为零', 'B': '防止计算条件概率时分子为零', 'C': '用于解决训练集中的噪声', 'D': '用于解决训练集中的异常值'}","[""B""]",1.0,1,单选题,3.3,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3005,Chinese
Pm_3804,在文本分类应用中，关于词袋模型的描述正确的是：,"{'A': '任何一个单词只能存在于某一个词袋中', 'B': '一个单词可能存在于多个词袋中但频率不同', 'C': '所有词袋中单词的并集就等同于词汇表', 'D': '词袋模型描述的是单词在所有文本中出现的频率'}","[""B""]",1.0,1,单选题,3.3,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3005,Chinese
Pm_3805,作为一种分类器，决策树模型的主要优点是：,"{'A': '训练时间短', 'B': '可解释性好', 'C': '善于处理缺失值', 'D': '鲁棒性好'}","[""B""]",1.0,1,单选题,3.5,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3006,Chinese
Pm_3806,下列哪一种情况被称为过学习现象：,"{'A': '在训练集上A优于B，在测试集上A也优于B', 'B': '在训练集上A优于B，在测试集上B优于A', 'C': '相对于分类数据集，决策树过于简单', 'D': '在训练集上决策树的误差很小'}","[""B""]",1.0,1,单选题,3.5,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3006,Chinese
Pm_3807,任何一个候选属性在生成的决策树中：,"{'A': '必须被使用', 'B': '只能被使用一次', 'C': '可以被使用多次', 'D': '可以在任意位置被使用多次'}","[""C""]",1.0,1,单选题,3.5,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3006,Chinese
Pm_3808,以下关于决策树的说法正确的是：,"{'A': '决策树越复杂，分类能力越强', 'B': '在性能相同的情况下，通常选择能充分利用各种属性的决策树', 'C': '对于某一个数据集，只有一个决策树可以将其完美分开', 'D': '对于某一个数据集，可以生成多个决策树'}","[""D""]",1.0,1,单选题,3.5,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3006,Chinese
Pm_3809,奥卡姆的剃刀指的是：,"{'A': 'Entities are not to be multiplied beyond necessity.', 'B': 'Among competing hypotheses, the one with the fewest assumptions should be selected.', 'C': 'The simplest explanation is usually the correct one.', 'D': '中世纪英国上流社会的一种生活用品。'}","[""A"", ""B"", ""C""]",2.0,2,多选题,3.5,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3006,Chinese
Pm_3810,为什么一般不推荐在决策树中使用“生日”属性：,"{'A': '星座信息更有说服力', 'B': '容易造成过学习', 'C': '可能的取值太多，计算量过大', 'D': '两个人可能生日相同'}","[""B""]",1.0,1,单选题,3.7,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3007,Chinese
Pm_3811,决策树模型中建树的基本原则是：,"{'A': '取值多的属性应放在上层', 'B': '取值少的属性应放在上层', 'C': '信息增益大的属性应放在上层', 'D': '应利用尽可能多的属性'}","[""C""]",1.0,1,单选题,3.7,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3007,Chinese
Pm_3812,哪些情况下必须停止树的增长：,"{'A': '当前数据子集的标签一致', 'B': '没有更多可用属性', 'C': '当前数据子集为空', 'D': '当前训练误差已经较低'}","[""A"", ""B"", ""C""]",2.0,2,多选题,3.7,"[896149, 896151, 896153, 6388435, 6388437]",Ex_3007,Chinese
