log_id,problem_id,user_id,is_correct,attempts,score,submit_time
14424233_738158,Pm_738158,U_14424233,1,1,2.0,2020-05-18 00:39:04
14504720_146588,Pm_146588,U_14504720,1,1,1.0,2020-06-19 08:31:48
14504720_146589,Pm_146589,U_14504720,1,1,2.0,2020-06-19 08:32:37
14504720_146590,Pm_146590,U_14504720,0,1,0.0,2020-06-19 08:34:36
14504720_146591,Pm_146591,U_14504720,0,1,0.0,2020-06-19 08:35:36
14776653_189414,Pm_189414,U_14776653,1,1,1.0,2020-09-14 23:17:39
14776653_189415,Pm_189415,U_14776653,1,1,1.0,2020-09-14 23:17:57
14776653_189416,Pm_189416,U_14776653,1,1,1.0,2020-09-14 23:18:07
14776653_189417,Pm_189417,U_14776653,1,1,1.0,2020-09-14 23:18:16
14956092_146588,Pm_146588,U_14956092,1,1,1.0,2020-05-21 07:05:42
14956092_146589,Pm_146589,U_14956092,1,1,2.0,2020-05-21 07:05:59
14956092_146590,Pm_146590,U_14956092,1,1,2.0,2020-05-21 07:06:17
14956092_146591,Pm_146591,U_14956092,0,1,0.0,2020-05-21 07:06:36
14956092_146592,Pm_146592,U_14956092,1,1,2.0,2020-05-21 07:07:04
14956092_146593,Pm_146593,U_14956092,0,1,0.0,2020-05-21 07:07:28
14956092_146594,Pm_146594,U_14956092,1,1,2.0,2020-05-21 07:07:58
14956092_146595,Pm_146595,U_14956092,1,1,2.0,2020-05-21 07:08:15
14956092_146596,Pm_146596,U_14956092,1,1,2.0,2020-05-21 07:08:29
14956092_146597,Pm_146597,U_14956092,1,1,2.0,2020-05-21 07:08:40
14956092_146598,Pm_146598,U_14956092,0,1,0.0,2020-05-21 07:08:59
14956092_146599,Pm_146599,U_14956092,1,1,1.0,2020-05-21 07:09:29
14956092_146600,Pm_146600,U_14956092,1,1,1.0,2020-05-21 07:09:54
14956092_146601,Pm_146601,U_14956092,1,1,1.0,2020-05-21 07:10:00
14956092_146604,Pm_146604,U_14956092,0,1,0.0,2020-05-21 22:08:09
14956092_146605,Pm_146605,U_14956092,1,1,1.0,2020-05-21 22:08:19
14956092_146606,Pm_146606,U_14956092,1,1,1.0,2020-05-21 22:08:29
14956092_146607,Pm_146607,U_14956092,1,1,2.0,2020-05-21 22:08:51
14956092_146608,Pm_146608,U_14956092,0,1,0.0,2020-05-21 22:09:56
14956092_146609,Pm_146609,U_14956092,0,1,0.0,2020-05-21 22:10:19
14956092_146610,Pm_146610,U_14956092,0,1,0.0,2020-05-21 22:10:55
14956092_146611,Pm_146611,U_14956092,1,1,1.0,2020-05-21 22:11:22
14956092_146612,Pm_146612,U_14956092,1,1,1.0,2020-05-21 22:11:52
14956092_146613,Pm_146613,U_14956092,1,1,1.0,2020-05-21 22:12:03
14956092_146614,Pm_146614,U_14956092,1,1,1.0,2020-05-21 22:12:53
14956092_146615,Pm_146615,U_14956092,1,1,2.0,2020-05-21 22:13:43
14956092_146616,Pm_146616,U_14956092,0,1,0.0,2020-05-21 22:14:00
14956092_146617,Pm_146617,U_14956092,1,1,2.0,2020-05-21 22:14:36
14956092_146618,Pm_146618,U_14956092,1,1,2.0,2020-05-21 22:14:57
14956092_146619,Pm_146619,U_14956092,0,1,0.0,2020-05-21 22:16:01
14956092_146620,Pm_146620,U_14956092,0,1,0.0,2020-05-21 22:22:55
14956092_146621,Pm_146621,U_14956092,1,1,1.0,2020-05-21 22:23:36
14956092_146622,Pm_146622,U_14956092,1,1,2.0,2020-05-21 22:23:54
14956092_146623,Pm_146623,U_14956092,0,1,0.0,2020-05-21 22:24:13
14956092_146624,Pm_146624,U_14956092,1,1,2.0,2020-05-21 22:25:03
14956092_146625,Pm_146625,U_14956092,1,1,2.0,2020-05-21 22:37:50
14956092_146626,Pm_146626,U_14956092,0,1,0.0,2020-05-21 22:39:24
14956092_146627,Pm_146627,U_14956092,0,1,0.0,2020-05-21 22:42:22
14956092_146628,Pm_146628,U_14956092,1,1,2.0,2020-05-21 22:43:33
14956092_146630,Pm_146630,U_14956092,1,1,2.0,2020-05-21 22:43:49
14956092_146631,Pm_146631,U_14956092,1,1,1.0,2020-05-21 22:44:49
14956092_146632,Pm_146632,U_14956092,1,1,1.0,2020-05-21 22:45:18
14956092_146633,Pm_146633,U_14956092,1,1,2.0,2020-05-21 22:45:44
14956092_146634,Pm_146634,U_14956092,0,1,0.0,2020-05-21 22:47:03
14956092_146635,Pm_146635,U_14956092,1,1,2.0,2020-05-21 22:48:12
14956092_146636,Pm_146636,U_14956092,1,1,1.0,2020-05-21 22:48:23
14956092_146637,Pm_146637,U_14956092,0,1,0.0,2020-05-21 22:48:39
14956092_146638,Pm_146638,U_14956092,0,1,0.0,2020-05-21 22:48:58
14956092_146639,Pm_146639,U_14956092,0,1,0.0,2020-05-21 22:49:28
14956092_146640,Pm_146640,U_14956092,0,1,0.0,2020-05-23 09:49:31
14956092_146641,Pm_146641,U_14956092,1,1,1.0,2020-05-23 09:50:24
14956092_146642,Pm_146642,U_14956092,0,1,0.0,2020-05-23 09:52:02
14956092_146643,Pm_146643,U_14956092,0,1,0.0,2020-05-23 09:52:52
14956092_146644,Pm_146644,U_14956092,1,1,2.0,2020-05-23 09:53:14
14956092_146645,Pm_146645,U_14956092,1,1,2.0,2020-05-23 09:53:34
14956092_146646,Pm_146646,U_14956092,0,1,0.0,2020-05-23 09:54:21
14956092_146647,Pm_146647,U_14956092,0,1,0.0,2020-05-23 09:55:24
14956092_146648,Pm_146648,U_14956092,0,1,0.0,2020-05-23 09:57:31
14956092_146650,Pm_146650,U_14956092,1,1,1.0,2020-05-25 04:17:58
14956092_146651,Pm_146651,U_14956092,1,1,1.0,2020-05-25 04:18:21
14956092_146652,Pm_146652,U_14956092,1,1,2.0,2020-05-25 04:19:02
14956092_146653,Pm_146653,U_14956092,0,1,0.0,2020-05-25 04:19:33
14956092_146654,Pm_146654,U_14956092,1,1,1.0,2020-05-25 04:19:57
14956092_146655,Pm_146655,U_14956092,0,1,0.0,2020-05-25 04:20:29
14956092_146656,Pm_146656,U_14956092,0,1,0.0,2020-05-25 04:24:56
14956092_146657,Pm_146657,U_14956092,1,1,1.0,2020-05-25 04:26:37
14956092_146659,Pm_146659,U_14956092,1,1,1.0,2020-05-25 06:34:28
14956092_146660,Pm_146660,U_14956092,0,1,0.0,2020-05-25 06:34:47
14956092_146661,Pm_146661,U_14956092,0,1,0.0,2020-05-25 06:35:17
14956092_146662,Pm_146662,U_14956092,1,1,2.0,2020-05-25 06:36:02
14956092_146663,Pm_146663,U_14956092,0,1,0.0,2020-05-25 06:36:25
14956092_146664,Pm_146664,U_14956092,0,1,0.0,2020-05-25 06:36:42
14956092_146665,Pm_146665,U_14956092,0,1,0.0,2020-05-25 06:36:51
14956092_146666,Pm_146666,U_14956092,1,1,2.0,2020-05-25 06:37:45
14956092_146667,Pm_146667,U_14956092,1,1,2.0,2020-05-25 06:39:52
14956092_146668,Pm_146668,U_14956092,1,1,2.0,2020-05-25 06:40:23
14956092_146669,Pm_146669,U_14956092,0,1,0.0,2020-05-25 06:40:52
14956092_146670,Pm_146670,U_14956092,0,1,0.0,2020-05-25 06:41:38
14956092_146671,Pm_146671,U_14956092,1,1,2.0,2020-05-25 06:42:21
14956092_146672,Pm_146672,U_14956092,1,1,2.0,2020-05-25 06:42:36
14956092_146673,Pm_146673,U_14956092,0,1,0.0,2020-05-25 06:43:04
14956092_146674,Pm_146674,U_14956092,0,1,0.0,2020-05-25 06:43:33
14956092_146676,Pm_146676,U_14956092,1,1,1.0,2020-05-25 08:18:01
14956092_146677,Pm_146677,U_14956092,1,1,1.0,2020-05-25 08:18:08
14956092_146678,Pm_146678,U_14956092,1,1,1.0,2020-05-25 08:18:24
14956092_146679,Pm_146679,U_14956092,1,1,1.0,2020-05-25 08:18:50
14956092_146680,Pm_146680,U_14956092,1,1,1.0,2020-05-25 08:19:17
14956092_146681,Pm_146681,U_14956092,1,1,2.0,2020-05-25 08:19:30
14956092_146682,Pm_146682,U_14956092,0,1,0.0,2020-05-25 08:19:57
14956092_146683,Pm_146683,U_14956092,1,1,2.0,2020-05-25 08:20:17
14956092_146684,Pm_146684,U_14956092,0,1,0.0,2020-05-25 08:21:23
14956092_146685,Pm_146685,U_14956092,0,1,0.0,2020-05-25 08:22:00
14956092_146686,Pm_146686,U_14956092,0,1,0.0,2020-05-25 08:23:08
14956092_146687,Pm_146687,U_14956092,1,1,1.0,2020-05-25 08:23:37
14956092_146689,Pm_146689,U_14956092,1,1,1.0,2020-05-27 10:05:50
14956092_146690,Pm_146690,U_14956092,1,1,1.0,2020-05-27 10:05:58
14956092_146691,Pm_146691,U_14956092,1,1,1.0,2020-05-27 10:06:16
14956092_146692,Pm_146692,U_14956092,1,1,1.0,2020-05-27 10:06:28
14956092_146693,Pm_146693,U_14956092,1,1,1.0,2020-05-27 10:06:38
14956092_146694,Pm_146694,U_14956092,1,1,1.0,2020-05-27 10:06:45
14956092_146695,Pm_146695,U_14956092,1,1,2.0,2020-05-27 10:07:08
14956092_146696,Pm_146696,U_14956092,0,1,0.0,2020-05-27 10:07:34
14956092_146697,Pm_146697,U_14956092,1,1,2.0,2020-05-27 10:08:38
14956092_146698,Pm_146698,U_14956092,1,1,2.0,2020-05-27 10:08:55
14956092_146699,Pm_146699,U_14956092,1,1,2.0,2020-05-27 10:09:35
14956092_146700,Pm_146700,U_14956092,1,1,1.0,2020-05-27 10:39:12
14956092_146701,Pm_146701,U_14956092,1,1,1.0,2020-05-27 10:39:28
14956092_146702,Pm_146702,U_14956092,1,1,2.0,2020-05-27 10:39:49
14956092_146703,Pm_146703,U_14956092,0,1,0.0,2020-05-27 10:40:13
14956092_146704,Pm_146704,U_14956092,0,1,0.0,2020-05-27 10:40:31
14956092_146705,Pm_146705,U_14956092,1,1,2.0,2020-05-27 10:40:56
14956092_146706,Pm_146706,U_14956092,1,1,2.0,2020-05-27 10:41:12
14956092_146707,Pm_146707,U_14956092,0,1,0.0,2020-05-27 10:41:23
14956092_146708,Pm_146708,U_14956092,0,1,0.0,2020-05-27 10:42:05
14956092_146709,Pm_146709,U_14956092,1,1,1.0,2020-05-27 10:42:21
14956092_146710,Pm_146710,U_14956092,1,1,2.0,2020-05-27 10:42:34
14956092_146711,Pm_146711,U_14956092,0,1,0.0,2020-05-27 10:42:58
14956092_146712,Pm_146712,U_14956092,1,1,1.0,2020-05-27 10:43:08
15112132_738095,Pm_738095,U_15112132,1,1,1.0,2020-05-06 19:58:39
15112132_738096,Pm_738096,U_15112132,1,1,1.0,2020-05-06 19:58:49
15112132_738097,Pm_738097,U_15112132,1,1,1.0,2020-05-06 19:58:54
15112132_738098,Pm_738098,U_15112132,1,1,1.0,2020-05-06 19:59:01
15201686_976059,Pm_976059,U_15201686,0,1,0.0,2020-06-03 10:22:12
15201686_976060,Pm_976060,U_15201686,1,1,1.0,2020-06-03 10:23:17
15201686_976061,Pm_976061,U_15201686,1,1,1.0,2020-06-03 10:25:35
15201686_976062,Pm_976062,U_15201686,1,1,1.0,2020-06-03 10:26:42
15201686_976063,Pm_976063,U_15201686,0,1,0.0,2020-06-03 10:28:00
15201686_976064,Pm_976064,U_15201686,1,1,2.0,2020-06-03 10:29:09
15201686_976065,Pm_976065,U_15201686,1,1,1.0,2020-06-05 09:13:48
15201686_976066,Pm_976066,U_15201686,1,1,1.0,2020-06-05 09:14:18
15201686_976067,Pm_976067,U_15201686,1,1,1.0,2020-06-05 09:15:20
15201686_976068,Pm_976068,U_15201686,1,1,1.0,2020-06-05 09:18:39
15201686_976069,Pm_976069,U_15201686,1,1,2.0,2020-06-05 09:19:09
15201686_976070,Pm_976070,U_15201686,1,1,1.0,2020-06-08 17:24:41
15201686_976071,Pm_976071,U_15201686,1,1,1.0,2020-06-08 17:25:21
15201686_976072,Pm_976072,U_15201686,1,1,1.0,2020-06-08 17:26:37
15201686_976073,Pm_976073,U_15201686,1,1,1.0,2020-06-08 17:27:20
15201686_976074,Pm_976074,U_15201686,1,1,1.0,2020-06-08 17:28:03
15201686_976075,Pm_976075,U_15201686,1,1,2.0,2020-06-08 17:28:54
15201686_976076,Pm_976076,U_15201686,1,1,1.0,2020-06-08 17:29:39
15201686_976077,Pm_976077,U_15201686,0,1,0.0,2020-08-04 11:48:45
15201686_976078,Pm_976078,U_15201686,1,1,1.0,2020-08-04 11:49:26
15201686_976079,Pm_976079,U_15201686,1,1,1.0,2020-08-04 11:50:08
15201686_976080,Pm_976080,U_15201686,1,1,2.0,2020-08-04 11:51:00
15201686_976081,Pm_976081,U_15201686,1,1,1.0,2020-08-04 11:51:40
15201686_976082,Pm_976082,U_15201686,1,1,2.0,2020-08-05 10:17:56
15201686_976083,Pm_976083,U_15201686,1,1,2.0,2020-08-05 10:19:45
15201686_976084,Pm_976084,U_15201686,0,1,0.0,2020-08-05 10:20:30
15201686_976085,Pm_976085,U_15201686,1,1,1.0,2020-08-05 10:22:09
15201686_976086,Pm_976086,U_15201686,1,1,1.0,2020-08-13 10:53:30
15201686_976087,Pm_976087,U_15201686,1,1,2.0,2020-08-13 10:53:44
15201686_976088,Pm_976088,U_15201686,1,1,2.0,2020-08-13 10:53:58
15201686_976089,Pm_976089,U_15201686,1,1,1.0,2020-08-13 10:55:10
15201686_976090,Pm_976090,U_15201686,0,1,0.0,2020-08-13 10:58:30
15201686_976091,Pm_976091,U_15201686,0,1,0.0,2020-08-13 11:00:26
15201686_976092,Pm_976092,U_15201686,1,1,2.0,2020-08-13 11:01:34
15201686_976093,Pm_976093,U_15201686,1,1,2.0,2020-08-13 11:02:32
15201686_976094,Pm_976094,U_15201686,1,1,1.0,2020-08-13 11:03:00
15201686_976095,Pm_976095,U_15201686,1,1,1.0,2020-08-14 10:26:21
15201686_976096,Pm_976096,U_15201686,1,1,2.0,2020-08-14 10:27:46
15201686_976097,Pm_976097,U_15201686,0,1,0.0,2020-08-14 10:29:46
15201686_976098,Pm_976098,U_15201686,1,1,1.0,2020-08-14 10:31:58
15201686_976099,Pm_976099,U_15201686,1,1,1.0,2020-08-14 10:33:18
15201686_976100,Pm_976100,U_15201686,1,1,1.0,2020-08-14 10:33:50
15201686_976101,Pm_976101,U_15201686,1,1,1.0,2020-08-14 10:35:07
15201686_976102,Pm_976102,U_15201686,1,1,1.0,2020-08-14 10:50:48
15201686_976103,Pm_976103,U_15201686,1,1,1.0,2020-08-14 10:51:02
15201686_976104,Pm_976104,U_15201686,0,1,0.0,2020-08-14 10:53:11
15201686_976105,Pm_976105,U_15201686,1,1,1.0,2020-08-15 17:21:57
15201686_976106,Pm_976106,U_15201686,1,1,1.0,2020-08-15 17:23:39
15201686_976107,Pm_976107,U_15201686,1,1,1.0,2020-08-15 17:26:03
15201686_976108,Pm_976108,U_15201686,1,1,2.0,2020-08-15 17:26:54
15201686_976109,Pm_976109,U_15201686,1,1,1.0,2020-08-15 17:27:15
15201686_976110,Pm_976110,U_15201686,1,1,2.0,2020-08-15 17:27:54
15201686_976111,Pm_976111,U_15201686,1,1,1.0,2020-08-15 17:28:12
15201686_976112,Pm_976112,U_15201686,1,1,1.0,2020-08-15 17:29:10
15201686_976113,Pm_976113,U_15201686,1,1,1.0,2020-08-15 17:29:42
15201686_976114,Pm_976114,U_15201686,1,1,1.0,2020-08-15 17:32:43
15201686_976115,Pm_976115,U_15201686,0,1,0.0,2020-08-15 17:33:46
15201686_976116,Pm_976116,U_15201686,1,1,2.0,2020-08-15 17:35:05
15201686_976117,Pm_976117,U_15201686,1,1,2.0,2020-08-15 17:35:54
15201686_976118,Pm_976118,U_15201686,1,1,2.0,2020-08-15 17:37:03
15201686_976119,Pm_976119,U_15201686,1,1,1.0,2020-08-15 17:37:50
15201686_976120,Pm_976120,U_15201686,0,1,0.0,2020-08-17 09:53:01
15201686_976121,Pm_976121,U_15201686,1,1,1.0,2020-08-17 09:55:27
15201686_976122,Pm_976122,U_15201686,1,1,1.0,2020-08-17 09:56:29
15201686_976123,Pm_976123,U_15201686,1,1,1.0,2020-08-17 09:56:48
15201686_976124,Pm_976124,U_15201686,1,1,1.0,2020-08-17 09:57:34
15201686_976125,Pm_976125,U_15201686,1,1,1.0,2020-08-17 09:59:54
15201686_976126,Pm_976126,U_15201686,1,1,1.0,2020-08-17 10:00:27
15201686_976127,Pm_976127,U_15201686,1,1,1.0,2020-08-17 10:02:08
15201686_976128,Pm_976128,U_15201686,1,1,1.0,2020-08-17 10:03:15
15201686_976129,Pm_976129,U_15201686,1,1,1.0,2020-08-17 10:04:20
15201686_976130,Pm_976130,U_15201686,1,1,1.0,2020-08-17 10:04:47
15201686_976140,Pm_976140,U_15201686,1,1,1.0,2020-05-28 07:18:36
15201686_976141,Pm_976141,U_15201686,1,1,2.0,2020-05-28 07:19:21
15201686_976142,Pm_976142,U_15201686,0,1,0.0,2020-05-28 07:22:15
15201686_976143,Pm_976143,U_15201686,1,1,1.0,2020-05-28 07:27:04
15201686_976144,Pm_976144,U_15201686,1,1,1.0,2020-05-28 07:29:09
15201686_976145,Pm_976145,U_15201686,1,1,1.0,2020-05-28 07:29:33
15201686_976146,Pm_976146,U_15201686,1,1,1.0,2020-05-28 07:30:50
15201686_976147,Pm_976147,U_15201686,0,1,0.0,2020-05-28 07:32:49
15201686_976148,Pm_976148,U_15201686,1,1,1.0,2020-05-28 07:33:56
15201686_976149,Pm_976149,U_15201686,1,1,1.0,2020-05-28 07:34:22
15201686_976150,Pm_976150,U_15201686,1,1,1.0,2020-05-28 16:06:43
15201686_976151,Pm_976151,U_15201686,0,1,0.0,2020-05-28 16:08:27
15201686_976152,Pm_976152,U_15201686,1,1,2.0,2020-05-28 16:09:40
15201686_976153,Pm_976153,U_15201686,0,1,0.0,2020-05-28 16:11:22
15201686_976154,Pm_976154,U_15201686,0,1,0.0,2020-05-28 16:21:26
15201686_976155,Pm_976155,U_15201686,0,1,0.0,2020-05-24 08:57:13
15201686_976156,Pm_976156,U_15201686,1,1,1.0,2020-05-24 08:58:47
15201686_976157,Pm_976157,U_15201686,1,1,1.0,2020-05-24 09:00:05
15201686_976158,Pm_976158,U_15201686,0,1,0.0,2020-05-24 09:02:49
15201686_976159,Pm_976159,U_15201686,1,1,1.0,2020-05-24 09:04:03
15201686_976160,Pm_976160,U_15201686,1,1,1.0,2020-05-24 09:04:40
15201686_976161,Pm_976161,U_15201686,1,1,2.0,2020-05-24 09:06:02
15201686_976162,Pm_976162,U_15201686,0,1,0.0,2020-05-24 09:12:04
15201686_976163,Pm_976163,U_15201686,1,1,2.0,2020-05-24 09:14:48
15201686_976164,Pm_976164,U_15201686,0,1,0.0,2020-05-24 09:15:24
15201686_976165,Pm_976165,U_15201686,1,1,1.0,2020-05-24 09:16:45
15201686_976166,Pm_976166,U_15201686,1,1,1.0,2020-05-24 09:17:43
15201686_976167,Pm_976167,U_15201686,1,1,1.0,2020-05-26 09:00:50
15201686_976168,Pm_976168,U_15201686,1,1,2.0,2020-05-26 09:01:40
15201686_976169,Pm_976169,U_15201686,1,1,1.0,2020-05-26 09:06:40
15201686_976170,Pm_976170,U_15201686,1,1,1.0,2020-05-26 09:07:00
15201686_976171,Pm_976171,U_15201686,1,1,1.0,2020-05-26 09:08:33
15201686_976172,Pm_976172,U_15201686,1,1,1.0,2020-05-26 09:09:58
15201686_976173,Pm_976173,U_15201686,0,1,0.0,2020-05-26 09:10:40
15201686_976174,Pm_976174,U_15201686,1,1,2.0,2020-05-26 09:11:53
15201686_976176,Pm_976176,U_15201686,1,1,1.0,2020-09-14 11:42:57
15201686_976177,Pm_976177,U_15201686,1,1,1.0,2020-09-14 11:43:18
15201686_976178,Pm_976178,U_15201686,0,1,0.0,2020-09-14 11:43:45
15201686_976179,Pm_976179,U_15201686,0,1,0.0,2020-09-14 11:45:03
15201686_976180,Pm_976180,U_15201686,0,1,0.0,2020-09-14 11:46:05
15201686_976181,Pm_976181,U_15201686,1,1,1.0,2020-09-14 11:46:34
15201686_976182,Pm_976182,U_15201686,0,1,0.0,2020-09-14 11:47:38
15217738_738095,Pm_738095,U_15217738,1,1,,2020-11-14 05:51:35
15217738_738096,Pm_738096,U_15217738,0,1,,2020-11-14 05:52:28
15217738_738097,Pm_738097,U_15217738,0,1,,2020-11-14 05:52:52
15217738_738098,Pm_738098,U_15217738,1,1,,2020-11-14 05:53:16
15840481_146588,Pm_146588,U_15840481,1,1,1.0,2020-05-03 20:26:23
15840481_146589,Pm_146589,U_15840481,0,1,0.0,2020-05-03 20:26:39
15840481_146590,Pm_146590,U_15840481,0,1,0.0,2020-05-03 20:27:21
15840481_146591,Pm_146591,U_15840481,0,1,0.0,2020-05-03 20:27:39
15840481_146592,Pm_146592,U_15840481,1,1,2.0,2020-05-03 20:28:00
15840481_146593,Pm_146593,U_15840481,1,1,2.0,2020-05-03 20:28:17
15840481_146594,Pm_146594,U_15840481,0,1,0.0,2020-05-03 20:28:42
15840481_146595,Pm_146595,U_15840481,1,1,2.0,2020-05-03 20:29:48
15840481_146596,Pm_146596,U_15840481,1,1,2.0,2020-05-03 20:30:01
15840481_146597,Pm_146597,U_15840481,1,1,2.0,2020-05-03 20:31:18
15840481_146598,Pm_146598,U_15840481,0,1,0.0,2020-05-03 20:31:33
15840481_146599,Pm_146599,U_15840481,0,1,0.0,2020-05-03 20:32:02
15840481_146600,Pm_146600,U_15840481,1,1,1.0,2020-05-03 20:32:37
15840481_146601,Pm_146601,U_15840481,1,1,1.0,2020-05-03 20:33:27
15852315_976086,Pm_976086,U_15852315,0,1,0.0,2020-08-21 16:32:34
