course_id,problem_id,exercise_id
C_597208,Pm_3798,Ex_3004
C_597208,Pm_3799,Ex_3004
C_597208,Pm_3800,Ex_3005
C_597208,Pm_3801,Ex_3005
C_597208,Pm_3802,Ex_3005
C_597208,Pm_3803,Ex_3005
C_597208,Pm_3804,Ex_3005
C_597208,Pm_3805,Ex_3006
C_597208,Pm_3806,Ex_3006
C_597208,Pm_3807,Ex_3006
C_597208,Pm_3808,Ex_3006
C_597208,Pm_3809,Ex_3006
C_597208,Pm_3810,Ex_3007
C_597208,Pm_3811,Ex_3007
C_597208,Pm_3812,Ex_3007
C_597208,Pm_3813,Ex_3007
C_597208,Pm_3814,Ex_3007
C_597208,Pm_3815,Ex_3007
C_597208,Pm_3816,Ex_3016
C_597208,Pm_3817,Ex_3016
C_597208,Pm_3818,Ex_3016
C_597208,Pm_3819,Ex_3017
C_597208,Pm_3820,Ex_3017
C_597208,Pm_3821,Ex_3017
C_597208,Pm_3822,Ex_3017
C_597208,Pm_3823,Ex_3018
C_597208,Pm_3824,Ex_3018
C_597208,Pm_3825,Ex_3018
C_597208,Pm_3826,Ex_3019
C_597208,Pm_3827,Ex_3019
C_597208,Pm_3828,Ex_3019
C_597208,Pm_3829,Ex_3019
C_597208,Pm_3830,Ex_3019
C_597208,Pm_3831,Ex_3020
C_597208,Pm_3832,Ex_3020
C_597208,Pm_3833,Ex_3020
C_597208,Pm_3834,Ex_3021
C_597208,Pm_3835,Ex_3021
C_597208,Pm_3836,Ex_3021
C_597208,Pm_3837,Ex_3029
C_597208,Pm_3838,Ex_3029
C_597208,Pm_3839,Ex_3029
C_597208,Pm_3840,Ex_3029
C_597208,Pm_3841,Ex_3029
C_597208,Pm_3842,Ex_3030
C_597208,Pm_3843,Ex_3030
C_597208,Pm_3844,Ex_3030
C_597208,Pm_3845,Ex_3031
C_597208,Pm_3846,Ex_3031
C_597208,Pm_3847,Ex_3031
C_597208,Pm_3848,Ex_3031
C_597208,Pm_3849,Ex_3032
C_597208,Pm_3850,Ex_3032
C_597208,Pm_3851,Ex_3032
C_597208,Pm_3852,Ex_3032
C_597208,Pm_3853,Ex_3032
C_597208,Pm_3854,Ex_3040
C_597208,Pm_3855,Ex_3040
C_597208,Pm_3856,Ex_3040
C_597208,Pm_3857,Ex_3040
C_597208,Pm_3858,Ex_3040
C_597208,Pm_3859,Ex_3041
C_597208,Pm_3860,Ex_3041
C_597208,Pm_3861,Ex_3041
C_597208,Pm_3862,Ex_3041
C_597208,Pm_3863,Ex_3041
C_597208,Pm_3864,Ex_3042
C_597208,Pm_3865,Ex_3042
C_597208,Pm_3866,Ex_3042
C_597208,Pm_3867,Ex_3042
C_597208,Pm_3868,Ex_3042
C_597208,Pm_3869,Ex_3043
C_597208,Pm_3870,Ex_3043
C_597208,Pm_3871,Ex_3043
C_597208,Pm_3872,Ex_3043
C_597208,Pm_3873,Ex_3043
C_597208,Pm_3874,Ex_3052
C_597208,Pm_3875,Ex_3052
C_597208,Pm_3876,Ex_3052
C_597208,Pm_3877,Ex_3052
C_597208,Pm_3878,Ex_3053
C_597208,Pm_3879,Ex_3053
C_597208,Pm_3880,Ex_3053
C_597208,Pm_3881,Ex_3053
C_597208,Pm_3882,Ex_3054
C_597208,Pm_3883,Ex_3054
C_597208,Pm_3884,Ex_3054
C_597208,Pm_3885,Ex_3054
C_597208,Pm_3886,Ex_3055
C_597208,Pm_3887,Ex_3055
C_597208,Pm_3888,Ex_3055
C_597208,Pm_3889,Ex_3055
C_597208,Pm_3890,Ex_3056
C_597208,Pm_3891,Ex_3056
C_597208,Pm_3892,Ex_3056
C_597208,Pm_3893,Ex_3056
C_597208,Pm_3894,Ex_3057
C_597208,Pm_3895,Ex_3057
C_597208,Pm_3896,Ex_3057
C_597208,Pm_3897,Ex_3058
C_597208,Pm_3898,Ex_3058
C_597208,Pm_3899,Ex_3058
C_597208,Pm_3900,Ex_3058
C_597208,Pm_3901,Ex_3065
C_597208,Pm_3902,Ex_3065
C_597208,Pm_3903,Ex_3065
C_597208,Pm_3904,Ex_3065
C_597208,Pm_3905,Ex_3065
C_597208,Pm_3906,Ex_3066
C_597208,Pm_3907,Ex_3066
C_597208,Pm_3908,Ex_3066
C_597208,Pm_3909,Ex_3066
C_597208,Pm_3910,Ex_3066
C_597208,Pm_3911,Ex_3067
C_597208,Pm_3912,Ex_3067
C_597208,Pm_3913,Ex_3067
C_597208,Pm_3914,Ex_3067
C_597208,Pm_3915,Ex_3067
C_597208,Pm_3916,Ex_3068
C_597208,Pm_3917,Ex_3068
C_597208,Pm_3918,Ex_3068
C_597208,Pm_3919,Ex_3068
C_597208,Pm_3920,Ex_3068
C_597208,Pm_3921,Ex_3069
C_597208,Pm_3922,Ex_3069
C_597208,Pm_3923,Ex_3069
C_597208,Pm_3924,Ex_3069
C_597208,Pm_3925,Ex_3069
C_597208,Pm_3926,Ex_3069
C_597208,Pm_3927,Ex_3069
C_597208,Pm_3928,Ex_3077
C_597208,Pm_3929,Ex_3077
C_597208,Pm_3930,Ex_3077
C_597208,Pm_3931,Ex_3078
C_597208,Pm_3932,Ex_3078
C_597208,Pm_3933,Ex_3078
C_597208,Pm_3934,Ex_3078
C_597208,Pm_3935,Ex_3078
C_597208,Pm_3936,Ex_3079
C_597208,Pm_3937,Ex_3079
C_597208,Pm_3938,Ex_3079
C_597208,Pm_3939,Ex_3080
C_597208,Pm_3940,Ex_3080
C_597208,Pm_3941,Ex_3080
C_597208,Pm_3942,Ex_3081
C_597208,Pm_3943,Ex_3081
C_597208,Pm_3944,Ex_3081
C_597208,Pm_3945,Ex_3093
C_597208,Pm_3946,Ex_3093
C_597208,Pm_3947,Ex_3093
C_597208,Pm_3948,Ex_3093
C_597208,Pm_3949,Ex_3093
C_597208,Pm_3950,Ex_3094
C_597208,Pm_3951,Ex_3094
C_597208,Pm_3952,Ex_3094
C_597208,Pm_3953,Ex_3094
C_597208,Pm_3954,Ex_3094
C_597208,Pm_3955,Ex_3095
C_597208,Pm_3956,Ex_3095
C_597208,Pm_3957,Ex_3095
C_597208,Pm_3958,Ex_3095
C_597208,Pm_3959,Ex_3096
C_597208,Pm_3960,Ex_3096
C_597208,Pm_3961,Ex_3096
C_597208,Pm_3962,Ex_3096
C_597208,Pm_3963,Ex_3097
C_597208,Pm_3964,Ex_3097
C_597208,Pm_3965,Ex_3097
C_597208,Pm_3966,Ex_3097
C_597208,Pm_3967,Ex_3097
C_597208,Pm_3968,Ex_3097
C_597208,Pm_3969,Ex_3097
C_597208,Pm_3970,Ex_3098
C_597208,Pm_3971,Ex_3098
C_597208,Pm_3972,Ex_3098
C_597208,Pm_3973,Ex_3099
C_597208,Pm_3974,Ex_3099
C_597208,Pm_3975,Ex_3099
C_597208,Pm_3976,Ex_3104
C_597208,Pm_3977,Ex_3104
C_597208,Pm_3978,Ex_3104
C_597208,Pm_3979,Ex_3104
C_597208,Pm_3980,Ex_3104
C_597208,Pm_3981,Ex_3104
C_597208,Pm_3982,Ex_3104
C_597208,Pm_3983,Ex_3104
C_597208,Pm_3984,Ex_3104
C_676953,Pm_1251512,Ex_1067788
C_676953,Pm_1251513,Ex_1067788
C_676953,Pm_1251514,Ex_1067788
C_676953,Pm_1251515,Ex_1067788
C_676953,Pm_1251516,Ex_1067788
C_676953,Pm_1251517,Ex_1067788
C_676953,Pm_1251518,Ex_1067788
C_676953,Pm_1251519,Ex_1067788
C_676953,Pm_1251520,Ex_1067788
C_676953,Pm_1251521,Ex_1067788
C_676953,Pm_1251522,Ex_1067788
C_676953,Pm_1251525,Ex_1067790
C_676953,Pm_1251526,Ex_1067790
C_676953,Pm_1251527,Ex_1067790
C_676953,Pm_1251528,Ex_1067790
C_676953,Pm_1251529,Ex_1067790
C_676953,Pm_1251530,Ex_1067790
C_676953,Pm_1251531,Ex_1067791
C_676953,Pm_1251532,Ex_1067791
C_676953,Pm_1251523,Ex_1067789
C_676953,Pm_1251524,Ex_1067789
C_676953,Pm_1251533,Ex_1067792
C_676953,Pm_1251534,Ex_1067792
C_676953,Pm_1251535,Ex_1067793
C_676953,Pm_1251536,Ex_1067794
C_676953,Pm_1251537,Ex_1067794
C_677010,Pm_102002,Ex_78429
C_677010,Pm_102003,Ex_78429
C_677010,Pm_102004,Ex_78429
C_677010,Pm_102005,Ex_78429
C_677010,Pm_102006,Ex_78429
C_677010,Pm_102007,Ex_78429
C_677010,Pm_102008,Ex_78429
C_677010,Pm_102009,Ex_78429
C_677010,Pm_102010,Ex_78429
C_677010,Pm_102011,Ex_78429
C_677010,Pm_102012,Ex_78429
C_677010,Pm_102013,Ex_78429
C_677010,Pm_102014,Ex_78429
C_677010,Pm_102015,Ex_78429
C_677010,Pm_102016,Ex_78429
C_677010,Pm_102040,Ex_78432
C_677010,Pm_102041,Ex_78432
C_677010,Pm_102042,Ex_78432
C_677010,Pm_102043,Ex_78432
C_677010,Pm_102044,Ex_78432
C_677010,Pm_102045,Ex_78432
C_677010,Pm_102046,Ex_78432
C_677010,Pm_102047,Ex_78432
C_677010,Pm_102048,Ex_78432
C_677010,Pm_102049,Ex_78432
C_677010,Pm_102017,Ex_78430
C_677010,Pm_102018,Ex_78430
C_677010,Pm_102019,Ex_78430
C_677010,Pm_102020,Ex_78430
C_677010,Pm_102021,Ex_78430
C_677010,Pm_102022,Ex_78430
C_677010,Pm_102023,Ex_78430
C_677010,Pm_102024,Ex_78430
C_677010,Pm_102026,Ex_78430
C_677010,Pm_102027,Ex_78430
C_677010,Pm_102028,Ex_78430
C_677010,Pm_102029,Ex_78430
C_677010,Pm_102030,Ex_78430
C_677010,Pm_102031,Ex_78430
C_677010,Pm_102032,Ex_78430
C_677010,Pm_102033,Ex_78431
C_677010,Pm_102034,Ex_78431
C_677010,Pm_102035,Ex_78431
C_677010,Pm_102036,Ex_78431
C_677010,Pm_102037,Ex_78431
C_677010,Pm_102038,Ex_78431
C_677010,Pm_102039,Ex_78431
C_677010,Pm_5862802,Ex_6221652
C_677010,Pm_5862803,Ex_6221652
C_677010,Pm_5862805,Ex_6221652
C_677010,Pm_102052,Ex_78465
C_677010,Pm_102053,Ex_78465
C_677010,Pm_102054,Ex_78465
C_677010,Pm_102055,Ex_78465
C_677010,Pm_102056,Ex_78465
C_677010,Pm_102057,Ex_78465
C_677010,Pm_102058,Ex_78465
C_677010,Pm_102059,Ex_78466
C_677010,Pm_102060,Ex_78466
C_677010,Pm_102061,Ex_78466
C_677010,Pm_102062,Ex_78466
C_677010,Pm_102063,Ex_78466
C_677010,Pm_102064,Ex_78467
C_677010,Pm_102065,Ex_78467
C_677010,Pm_102066,Ex_78467
C_677010,Pm_102067,Ex_78467
C_677010,Pm_102068,Ex_78468
C_677010,Pm_102069,Ex_78468
C_677010,Pm_102070,Ex_78468
C_677010,Pm_102071,Ex_78468
C_677010,Pm_1248810,Ex_1065563
C_677010,Pm_1248811,Ex_1065563
C_677010,Pm_1248812,Ex_1065563
C_677010,Pm_1248813,Ex_1065563
C_677010,Pm_1248814,Ex_1065564
C_677010,Pm_1248815,Ex_1065564
C_677010,Pm_1248816,Ex_1065564
C_677010,Pm_1248817,Ex_1065564
C_677010,Pm_1249294,Ex_1066167
C_677010,Pm_1249295,Ex_1066167
C_677010,Pm_1249296,Ex_1066167
C_677010,Pm_1249297,Ex_1066167
C_677010,Pm_1249298,Ex_1066168
C_677010,Pm_1249299,Ex_1066168
C_677010,Pm_102073,Ex_78469
C_677010,Pm_102074,Ex_78469
C_677010,Pm_102075,Ex_78469
C_677010,Pm_5862807,Ex_6221653
C_677010,Pm_5862808,Ex_6221653
C_677010,Pm_5862810,Ex_6221653
C_677010,Pm_102076,Ex_78480
C_677010,Pm_102077,Ex_78480
C_677010,Pm_102078,Ex_78480
C_677010,Pm_102079,Ex_78480
C_677010,Pm_102080,Ex_78480
C_677010,Pm_102081,Ex_78481
C_677010,Pm_102082,Ex_78481
C_677010,Pm_102083,Ex_78481
C_677010,Pm_102084,Ex_78482
C_677010,Pm_102085,Ex_78482
C_677010,Pm_102086,Ex_78482
C_677010,Pm_102087,Ex_78483
C_677010,Pm_102088,Ex_78483
C_677010,Pm_102089,Ex_78483
C_677010,Pm_102090,Ex_78483
C_677010,Pm_102092,Ex_78483
C_677010,Pm_102093,Ex_78483
C_677010,Pm_102094,Ex_78484
C_677010,Pm_102095,Ex_78484
C_677010,Pm_102096,Ex_78484
C_677010,Pm_102097,Ex_78484
C_677010,Pm_102098,Ex_78485
C_677010,Pm_102099,Ex_78485
C_677010,Pm_5862813,Ex_6221656
C_677010,Pm_5862814,Ex_6221656
C_677010,Pm_5862815,Ex_6221656
C_677010,Pm_102100,Ex_78495
C_677010,Pm_102101,Ex_78495
C_677010,Pm_102102,Ex_78495
C_677010,Pm_102103,Ex_78495
C_677010,Pm_102104,Ex_78495
C_677010,Pm_102105,Ex_78495
C_677010,Pm_102106,Ex_78495
C_677010,Pm_102107,Ex_78495
C_677010,Pm_102108,Ex_78495
C_677010,Pm_102109,Ex_78496
C_677010,Pm_102110,Ex_78496
C_677010,Pm_102111,Ex_78496
C_677010,Pm_102112,Ex_78496
C_677010,Pm_102113,Ex_78496
C_677010,Pm_102114,Ex_78497
C_677010,Pm_102115,Ex_78497
C_677010,Pm_102117,Ex_78497
C_677010,Pm_102118,Ex_78498
C_677010,Pm_102119,Ex_78498
C_677010,Pm_102120,Ex_78499
C_677010,Pm_102121,Ex_78500
C_677010,Pm_102122,Ex_78500
C_677010,Pm_102123,Ex_78500
C_677010,Pm_102124,Ex_78500
C_677010,Pm_102125,Ex_78500
C_677010,Pm_102126,Ex_78500
C_677010,Pm_102127,Ex_78500
C_677010,Pm_102128,Ex_78500
C_677010,Pm_5862818,Ex_6221658
C_677010,Pm_5862820,Ex_6221658
C_677010,Pm_5862821,Ex_6221658
C_677010,Pm_102130,Ex_78515
C_677010,Pm_102131,Ex_78515
C_677010,Pm_102132,Ex_78515
C_677010,Pm_102133,Ex_78516
C_677010,Pm_102134,Ex_78516
C_677010,Pm_102135,Ex_78516
C_677010,Pm_102136,Ex_78516
C_677010,Pm_102137,Ex_78517
C_677010,Pm_102138,Ex_78517
C_677010,Pm_102139,Ex_78517
C_677010,Pm_102140,Ex_78517
C_677010,Pm_102141,Ex_78517
C_677010,Pm_102142,Ex_78517
C_677010,Pm_102143,Ex_78518
C_677010,Pm_102144,Ex_78518
C_677010,Pm_102145,Ex_78518
C_677010,Pm_102146,Ex_78518
C_677010,Pm_102147,Ex_78519
C_677010,Pm_102148,Ex_78519
C_677010,Pm_102149,Ex_78519
C_677010,Pm_102150,Ex_78519
C_677010,Pm_102151,Ex_78520
C_677010,Pm_102152,Ex_78520
C_677010,Pm_102153,Ex_78520
C_677010,Pm_102154,Ex_78520
C_677010,Pm_102156,Ex_78531
C_677010,Pm_102157,Ex_78531
C_677010,Pm_102158,Ex_78532
C_677010,Pm_102159,Ex_78532
C_677010,Pm_102160,Ex_78532
C_677010,Pm_102161,Ex_78532
C_677066,Pm_110756,Ex_86693
C_677066,Pm_110757,Ex_86693
C_677066,Pm_110758,Ex_86693
C_677066,Pm_110759,Ex_86693
C_677066,Pm_110760,Ex_86693
C_677066,Pm_110761,Ex_86693
C_677066,Pm_110762,Ex_86693
C_677066,Pm_110763,Ex_86693
C_677066,Pm_110764,Ex_86693
C_677066,Pm_110765,Ex_86693
C_677066,Pm_110766,Ex_86703
C_677066,Pm_110767,Ex_86703
C_677066,Pm_110768,Ex_86703
C_677066,Pm_110769,Ex_86703
C_677066,Pm_110770,Ex_86703
C_677066,Pm_110771,Ex_86703
C_677066,Pm_110772,Ex_86703
C_677066,Pm_110773,Ex_86703
C_677066,Pm_110774,Ex_86703
C_677066,Pm_110775,Ex_86703
C_677066,Pm_110776,Ex_86711
C_677066,Pm_110777,Ex_86711
C_677066,Pm_110778,Ex_86711
C_677066,Pm_110779,Ex_86711
C_677066,Pm_110780,Ex_86711
C_677066,Pm_110781,Ex_86711
C_677066,Pm_110782,Ex_86711
C_677066,Pm_110783,Ex_86711
C_677066,Pm_110784,Ex_86711
C_677066,Pm_110785,Ex_86711
C_677066,Pm_110786,Ex_86718
C_677066,Pm_110787,Ex_86718
C_677066,Pm_110788,Ex_86718
C_677066,Pm_110789,Ex_86718
C_677066,Pm_110790,Ex_86718
C_677066,Pm_110791,Ex_86718
C_677066,Pm_110792,Ex_86718
C_677066,Pm_110793,Ex_86718
C_677066,Pm_110794,Ex_86718
C_677066,Pm_110795,Ex_86718
C_677066,Pm_110796,Ex_86723
C_677066,Pm_110797,Ex_86723
C_677066,Pm_110798,Ex_86723
C_677066,Pm_110799,Ex_86723
C_677066,Pm_110800,Ex_86723
C_677066,Pm_110801,Ex_86723
C_677066,Pm_110802,Ex_86723
C_677066,Pm_110803,Ex_86723
C_677066,Pm_110804,Ex_86723
C_677066,Pm_110805,Ex_86723
C_677066,Pm_110806,Ex_86731
C_677066,Pm_110807,Ex_86731
C_677066,Pm_110808,Ex_86731
C_677066,Pm_110809,Ex_86731
C_677066,Pm_110810,Ex_86731
C_677066,Pm_110811,Ex_86731
C_677066,Pm_110812,Ex_86731
C_677066,Pm_110813,Ex_86731
C_677066,Pm_110814,Ex_86742
C_677066,Pm_110815,Ex_86742
C_677066,Pm_110816,Ex_86742
C_677066,Pm_110817,Ex_86742
C_677066,Pm_110818,Ex_86742
C_677066,Pm_110819,Ex_86742
C_677066,Pm_110820,Ex_86742
C_677066,Pm_110821,Ex_86742
C_677066,Pm_110822,Ex_86742
C_677066,Pm_110823,Ex_86742
C_677066,Pm_110824,Ex_86748
C_677066,Pm_110825,Ex_86748
C_677066,Pm_110826,Ex_86748
C_677066,Pm_110827,Ex_86748
C_677066,Pm_110828,Ex_86748
C_677066,Pm_110829,Ex_86748
C_677066,Pm_110830,Ex_86748
C_677066,Pm_110831,Ex_86748
C_677066,Pm_110832,Ex_86748
C_677066,Pm_110833,Ex_86748
C_677066,Pm_110834,Ex_86756
C_677066,Pm_110835,Ex_86756
C_677066,Pm_110836,Ex_86756
C_677066,Pm_110837,Ex_86756
C_677066,Pm_110838,Ex_86756
C_677066,Pm_110839,Ex_86756
C_677066,Pm_110840,Ex_86756
C_677066,Pm_110841,Ex_86756
C_677066,Pm_110842,Ex_86756
C_677066,Pm_110843,Ex_86756
C_677066,Pm_110844,Ex_86764
C_677066,Pm_110845,Ex_86764
C_677066,Pm_110846,Ex_86764
C_677066,Pm_110847,Ex_86764
C_677066,Pm_110848,Ex_86764
C_677066,Pm_110849,Ex_86764
C_677066,Pm_110850,Ex_86764
C_677066,Pm_110851,Ex_86764
C_677066,Pm_110852,Ex_86764
C_677066,Pm_110853,Ex_86764
C_677066,Pm_110854,Ex_86773
C_677066,Pm_110855,Ex_86773
C_677066,Pm_110856,Ex_86773
C_677066,Pm_110857,Ex_86773
C_677066,Pm_110858,Ex_86773
C_677066,Pm_110859,Ex_86773
C_677066,Pm_110860,Ex_86773
C_677066,Pm_110861,Ex_86773
C_677066,Pm_110862,Ex_86773
C_677066,Pm_110863,Ex_86773
C_677066,Pm_110864,Ex_86780
C_677066,Pm_110865,Ex_86780
C_677066,Pm_110866,Ex_86780
C_677066,Pm_110867,Ex_86780
C_677066,Pm_110868,Ex_86780
C_677066,Pm_110869,Ex_86780
C_677066,Pm_110870,Ex_86780
C_677066,Pm_110871,Ex_86780
C_677066,Pm_110872,Ex_86780
C_677066,Pm_110873,Ex_86780
C_677066,Pm_110874,Ex_86785
C_677066,Pm_110875,Ex_86785
C_677066,Pm_110876,Ex_86785
C_677066,Pm_110877,Ex_86785
C_677066,Pm_110878,Ex_86785
C_677066,Pm_110879,Ex_86785
C_677066,Pm_110880,Ex_86785
C_677066,Pm_110881,Ex_86785
C_677066,Pm_110882,Ex_86785
C_677066,Pm_110883,Ex_86785
C_677066,Pm_110884,Ex_86788
C_677066,Pm_110885,Ex_86788
C_677066,Pm_110886,Ex_86788
C_677066,Pm_110887,Ex_86788
C_677066,Pm_110888,Ex_86788
C_680747,Pm_146588,Ex_116883
C_680747,Pm_146589,Ex_116883
C_680747,Pm_146590,Ex_116883
C_680747,Pm_146591,Ex_116883
C_680747,Pm_146592,Ex_116883
C_680747,Pm_146593,Ex_116883
C_680747,Pm_146594,Ex_116883
C_680747,Pm_146595,Ex_116883
C_680747,Pm_146596,Ex_116883
C_680747,Pm_146597,Ex_116883
C_680747,Pm_146598,Ex_116883
C_680747,Pm_146599,Ex_116883
C_680747,Pm_146600,Ex_116883
C_680747,Pm_146601,Ex_116883
C_680747,Pm_146604,Ex_116892
C_680747,Pm_146605,Ex_116892
C_680747,Pm_146606,Ex_116892
C_680747,Pm_146607,Ex_116892
C_680747,Pm_146608,Ex_116892
C_680747,Pm_146609,Ex_116892
C_680747,Pm_146610,Ex_116892
C_680747,Pm_146611,Ex_116892
C_680747,Pm_146612,Ex_116892
C_680747,Pm_146613,Ex_116892
C_680747,Pm_146614,Ex_116892
C_680747,Pm_146615,Ex_116892
C_680747,Pm_146616,Ex_116892
C_680747,Pm_146617,Ex_116892
C_680747,Pm_146618,Ex_116892
C_680747,Pm_146619,Ex_116892
C_680747,Pm_146620,Ex_116892
C_680747,Pm_146621,Ex_116892
C_680747,Pm_146622,Ex_116892
C_680747,Pm_146623,Ex_116892
C_680747,Pm_146624,Ex_116892
C_680747,Pm_146625,Ex_116893
C_680747,Pm_146626,Ex_116893
C_680747,Pm_146627,Ex_116893
C_680747,Pm_146628,Ex_116893
C_680747,Pm_146630,Ex_116893
C_680747,Pm_146631,Ex_116893
C_680747,Pm_146632,Ex_116893
C_680747,Pm_146633,Ex_116893
C_680747,Pm_146634,Ex_116893
C_680747,Pm_146635,Ex_116893
C_680747,Pm_146636,Ex_116893
C_680747,Pm_146637,Ex_116893
C_680747,Pm_146638,Ex_116893
C_680747,Pm_146639,Ex_116893
C_680747,Pm_146640,Ex_116896
C_680747,Pm_146641,Ex_116896
C_680747,Pm_146642,Ex_116896
C_680747,Pm_146643,Ex_116896
C_680747,Pm_146644,Ex_116896
C_680747,Pm_146645,Ex_116896
C_680747,Pm_146646,Ex_116896
C_680747,Pm_146647,Ex_116896
C_680747,Pm_146648,Ex_116896
C_680747,Pm_146650,Ex_116899
C_680747,Pm_146651,Ex_116899
C_680747,Pm_146652,Ex_116899
C_680747,Pm_146653,Ex_116899
C_680747,Pm_146654,Ex_116899
C_680747,Pm_146655,Ex_116899
C_680747,Pm_146656,Ex_116899
C_680747,Pm_146657,Ex_116899
C_680747,Pm_146659,Ex_116907
C_680747,Pm_146660,Ex_116907
C_680747,Pm_146661,Ex_116907
C_680747,Pm_146662,Ex_116907
C_680747,Pm_146663,Ex_116907
C_680747,Pm_146664,Ex_116907
C_680747,Pm_146665,Ex_116907
C_680747,Pm_146666,Ex_116907
C_680747,Pm_146667,Ex_116907
C_680747,Pm_146668,Ex_116907
C_680747,Pm_146669,Ex_116907
C_680747,Pm_146670,Ex_116907
C_680747,Pm_146671,Ex_116907
C_680747,Pm_146672,Ex_116907
C_680747,Pm_146673,Ex_116907
C_680747,Pm_146674,Ex_116907
C_680747,Pm_146676,Ex_116912
C_680747,Pm_146677,Ex_116912
C_680747,Pm_146678,Ex_116912
C_680747,Pm_146679,Ex_116912
C_680747,Pm_146680,Ex_116912
C_680747,Pm_146681,Ex_116912
C_680747,Pm_146682,Ex_116912
C_680747,Pm_146683,Ex_116912
C_680747,Pm_146684,Ex_116912
C_680747,Pm_146685,Ex_116912
C_680747,Pm_146686,Ex_116912
C_680747,Pm_146687,Ex_116912
C_680747,Pm_146689,Ex_116915
C_680747,Pm_146690,Ex_116915
C_680747,Pm_146691,Ex_116915
C_680747,Pm_146692,Ex_116915
C_680747,Pm_146693,Ex_116915
C_680747,Pm_146694,Ex_116915
C_680747,Pm_146695,Ex_116915
C_680747,Pm_146696,Ex_116915
C_680747,Pm_146697,Ex_116915
C_680747,Pm_146698,Ex_116915
C_680747,Pm_146699,Ex_116915
C_680747,Pm_146700,Ex_116919
C_680747,Pm_146701,Ex_116919
C_680747,Pm_146702,Ex_116919
C_680747,Pm_146703,Ex_116919
C_680747,Pm_146704,Ex_116919
C_680747,Pm_146705,Ex_116919
C_680747,Pm_146706,Ex_116919
C_680747,Pm_146707,Ex_116919
C_680747,Pm_146708,Ex_116919
C_680747,Pm_146709,Ex_116919
C_680747,Pm_146710,Ex_116919
C_680747,Pm_146711,Ex_116919
C_680747,Pm_146712,Ex_116919
C_680747,Pm_146713,Ex_116923
C_680747,Pm_146714,Ex_116923
C_680747,Pm_146715,Ex_116923
C_680747,Pm_146716,Ex_116923
C_680747,Pm_146717,Ex_116923
C_680747,Pm_146718,Ex_116923
C_680747,Pm_146719,Ex_116923
C_680747,Pm_146720,Ex_116923
C_680747,Pm_146721,Ex_116923
C_680747,Pm_146722,Ex_116923
C_680747,Pm_146723,Ex_116926
C_680747,Pm_146724,Ex_116926
C_680747,Pm_146725,Ex_116926
C_680747,Pm_146726,Ex_116926
C_680747,Pm_146727,Ex_116926
C_680747,Pm_146728,Ex_116926
C_680747,Pm_146729,Ex_116926
