c1,c2,ground_truth,text_predict,graph_predict
K_段表_计算机科学与技术,K_中断机制_计算机科学与技术,1,"[0.010071179829537868, 0.9899287819862366]","[0.01348515972495079, 0.9865148663520813]"
K_程序指令_计算机科学与技术,K_指令流_计算机科学与技术,1,"[0.028972961008548737, 0.9710270762443542]","[0.0048080142587423325, 0.9951919317245483]"
K_进程切换_计算机科学与技术,K_通用操作系统_计算机科学与技术,1,"[0.08555309474468231, 0.9144469499588013]","[0.04960934817790985, 0.9503906965255737]"
K_互联网协议_计算机科学与技术,K_互联网电视_计算机科学与技术,1,"[0.05592265725135803, 0.9440773725509644]","[0.014588844031095505, 0.9854111671447754]"
K_指令功能_计算机科学与技术,K_通用操作系统_计算机科学与技术,1,"[0.014720432460308075, 0.9852795600891113]","[0.0031585379038006067, 0.9968414306640625]"
K_执行状态_计算机科学与技术,K_重新启动_计算机科学与技术,1,"[0.10305874049663544, 0.8969412446022034]","[0.07164132595062256, 0.9283586740493774]"
K_数字信息_计算机科学与技术,K_磁盘镜像_计算机科学与技术,1,"[0.008700830861926079, 0.9912991523742676]","[0.001211638911627233, 0.9987883567810059]"
K_执行开销_计算机科学与技术,K_并行编译_计算机科学与技术,1,"[0.04710030555725098, 0.952899694442749]","[0.021189743652939796, 0.9788103103637695]"
K_操作语义_计算机科学与技术,K_分布式操作系统_计算机科学与技术,1,"[0.018442265689373016, 0.9815577268600464]","[0.006370066665112972, 0.9936299324035645]"
K_控制线_计算机科学与技术,K_进程切换_计算机科学与技术,1,"[0.01588170789182186, 0.9841183423995972]","[0.010087479837238789, 0.9899125099182129]"
K_中断控制_计算机科学与技术,K_禁止中断_计算机科学与技术,1,"[0.01823180727660656, 0.9817681908607483]","[0.010397346690297127, 0.9896026849746704]"
K_命令接口_计算机科学与技术,K_第二代计算机_计算机科学与技术,1,"[0.03322605788707733, 0.9667738676071167]","[0.011084873229265213, 0.9889151453971863]"
K_段表_计算机科学与技术,K_指令缓存_计算机科学与技术,1,"[0.011691948398947716, 0.9883080720901489]","[0.007233841810375452, 0.9927662014961243]"
K_叶节点_计算机科学与技术,K_B树_计算机科学与技术,1,"[0.9728237390518188, 0.02717624604701996]","[0.9982635974884033, 0.0017363358056172729]"
K_方波信号_计算机科学与技术,K_多媒体通信_计算机科学与技术,1,"[0.03365673869848251, 0.9663432836532593]","[0.006280870176851749, 0.9937191605567932]"
K_中断控制_计算机科学与技术,K_子程序调用指令_计算机科学与技术,1,"[0.02531318925321102, 0.9746867418289185]","[0.0023777757305651903, 0.9976221919059753]"
K_二进制信号_计算机科学与技术,K_主存储器_计算机科学与技术,1,"[0.05053642764687538, 0.9494634866714478]","[0.09528543055057526, 0.9047145843505859]"
K_段表_计算机科学与技术,K_特权指令_计算机科学与技术,1,"[0.01249974500387907, 0.9875001907348633]","[0.009406756609678268, 0.9905932545661926]"
K_分时系统_计算机科学与技术,K_虚拟机管理器_计算机科学与技术,1,"[0.0923611968755722, 0.9076387882232666]","[0.07899575680494308, 0.9210042357444763]"
K_中断服务程序_计算机科学与技术,K_伙伴系统_计算机科学与技术,1,"[0.051067791879177094, 0.9489321708679199]","[0.030195768922567368, 0.9698042273521423]"
K_内部中断_计算机科学与技术,K_禁止中断_计算机科学与技术,1,"[0.012076609767973423, 0.9879233837127686]","[0.004882721696048975, 0.9951173067092896]"
K_控制总线_计算机科学与技术,K_开中断_计算机科学与技术,1,"[0.023005858063697815, 0.9769941568374634]","[0.0065771955996751785, 0.9934228658676147]"
K_中断控制器_计算机科学与技术,K_多进程_计算机科学与技术,1,"[0.023302901536226273, 0.9766970872879028]","[0.025082189589738846, 0.9749178290367126]"
K_指令译码器_计算机科学与技术,K_中断优先级_计算机科学与技术,1,"[0.021965142339468002, 0.9780348539352417]","[0.005112536251544952, 0.9948874711990356]"
K_机器周期_计算机科学与技术,K_执行系统_计算机科学与技术,1,"[0.028860880061984062, 0.9711390733718872]","[0.006052557844668627, 0.993947446346283]"
K_控制总线_计算机科学与技术,K_中断控制_计算机科学与技术,1,"[0.018377047032117844, 0.9816229343414307]","[0.002077343873679638, 0.9979226589202881]"
K_处理流程_计算机科学与技术,K_处理器调度_计算机科学与技术,1,"[0.10202251374721527, 0.8979774713516235]","[0.14420655369758606, 0.8557934761047363]"
K_允许中断_计算机科学与技术,K_进程调度_计算机科学与技术,1,"[0.01724277436733246, 0.9827572107315063]","[0.013641545549035072, 0.9863584637641907]"
K_储存空间_计算机科学与技术,K_虚拟内存_计算机科学与技术,1,"[0.011330705136060715, 0.9886692762374878]","[0.001693299738690257, 0.9983067512512207]"
K_二进制数字_计算机科学与技术,K_载波侦听_计算机科学与技术,1,"[0.18405331671237946, 0.815946638584137]","[0.05244234576821327, 0.9475576877593994]"
K_文件子系统_计算机科学与技术,K_系统启动_计算机科学与技术,1,"[0.15212202072143555, 0.8478779792785645]","[0.263830304145813, 0.736169695854187]"
K_面向连接的协议_计算机科学与技术,K_互连网络_计算机科学与技术,1,"[0.04501316323876381, 0.9549868106842041]","[0.015765324234962463, 0.9842346906661987]"
K_进制转换_计算机科学与技术,K_虚拟内存_计算机科学与技术,1,"[0.03857620805501938, 0.9614237546920776]","[0.028293190523982048, 0.9717068076133728]"
K_标号_计算机科学与技术,K_变址寄存器_计算机科学与技术,1,"[0.5208926200866699, 0.4791073799133301]","[0.4014427065849304, 0.5985572934150696]"
K_活动分区_计算机科学与技术,K_子程序调用指令_计算机科学与技术,1,"[0.04633481428027153, 0.9536652565002441]","[0.008254896849393845, 0.991745114326477]"
K_允许中断_计算机科学与技术,K_缓存_计算机科学与技术,1,"[0.036726392805576324, 0.9632736444473267]","[0.14333947002887726, 0.8566604852676392]"
K_网络延时_计算机科学与技术,K_广播网络_计算机科学与技术,1,"[0.04453644901514053, 0.9554635286331177]","[0.08719903975725174, 0.9128010272979736]"
K_缓存_计算机科学与技术,K_文件管理_计算机科学与技术,1,"[0.017961498349905014, 0.9820384979248047]","[0.21128731966018677, 0.7887126803398132]"
K_开始符号_计算机科学与技术,K_发送信号_计算机科学与技术,1,"[0.5209556818008423, 0.4790443778038025]","[0.7252757549285889, 0.27472418546676636]"
K_保护位_计算机科学与技术,K_允许中断_计算机科学与技术,1,"[0.04608190432190895, 0.9539180994033813]","[0.035392459481954575, 0.9646075963973999]"
K_程序指令_计算机科学与技术,K_段表_计算机科学与技术,1,"[0.040437448769807816, 0.9595625400543213]","[0.010394051671028137, 0.9896059632301331]"
K_互连网络_计算机科学与技术,K_远程系统_计算机科学与技术,1,"[0.04035127907991409, 0.9596487283706665]","[0.010455160401761532, 0.9895448684692383]"
K_多用户系统_计算机科学与技术,K_视窗操作系统_计算机科学与技术,1,"[0.09906013309955597, 0.9009398818016052]","[0.13643909990787506, 0.8635608553886414]"
K_储存空间_计算机科学与技术,K_数据流分析_计算机科学与技术,1,"[0.018202077597379684, 0.9817979335784912]","[0.0018230475252494216, 0.9981769919395447]"
K_方波信号_计算机科学与技术,K_解调器_计算机科学与技术,1,"[0.022574905306100845, 0.9774250984191895]","[0.0065202126279473305, 0.9934797883033752]"
K_虚拟机管理器_计算机科学与技术,K_管理子系统_计算机科学与技术,1,"[0.09639063477516174, 0.9036093354225159]","[0.07800374925136566, 0.9219962358474731]"
K_机器周期_计算机科学与技术,K_中断控制器_计算机科学与技术,1,"[0.04133438691496849, 0.9586656093597412]","[0.00742743955925107, 0.9925726056098938]"
K_中断控制_计算机科学与技术,K_中断控制器_计算机科学与技术,1,"[0.019378824159502983, 0.9806210994720459]","[0.0021947340574115515, 0.9978052973747253]"
K_程序状态字_计算机科学与技术,K_动态分配内存_计算机科学与技术,1,"[0.06819579750299454, 0.9318042397499084]","[0.055039796978235245, 0.9449601769447327]"
K_分治_计算机科学与技术,K_快速排序_计算机科学与技术,1,"[0.5189962983131409, 0.48100364208221436]","[0.6489158272743225, 0.3510841727256775]"
K_宏指令_计算机科学与技术,K_编译系统_计算机科学与技术,1,"[0.00787549838423729, 0.9921245574951172]","[0.0008851586608216166, 0.9991148710250854]"
K_指令译码器_计算机科学与技术,K_发送信号_计算机科学与技术,1,"[0.08720776438713074, 0.9127922654151917]","[0.06522555649280548, 0.9347743988037109]"
K_阻塞接收_计算机科学与技术,K_连接建立_计算机科学与技术,1,"[0.028006670996546745, 0.9719933271408081]","[0.028150539845228195, 0.9718494415283203]"
K_系统配置_计算机科学与技术,K_文件管理_计算机科学与技术,1,"[0.02197827212512493, 0.9780217409133911]","[0.006253398954868317, 0.9937466382980347]"
K_系统内核_计算机科学与技术,K_动态管理_计算机科学与技术,1,"[0.02616523951292038, 0.973834753036499]","[0.013922681100666523, 0.9860773086547852]"
K_操作命令_计算机科学与技术,K_控制流分析_计算机科学与技术,1,"[0.02730417251586914, 0.9726958274841309]","[0.005749326664954424, 0.9942506551742554]"
K_逻辑地址空间_计算机科学与技术,K_高速缓存_计算机科学与技术,1,"[0.022241413593292236, 0.977758526802063]","[0.07490935921669006, 0.9250906109809875]"
K_内部中断_计算机科学与技术,K_中断控制_计算机科学与技术,1,"[0.010869927704334259, 0.9891301393508911]","[0.0004816856817342341, 0.9995182752609253]"
K_逻辑地址空间_计算机科学与技术,K_随机存储器_计算机科学与技术,1,"[0.07298246771097183, 0.9270175099372864]","[0.19292205572128296, 0.807077944278717]"
K_用户进程_计算机科学与技术,K_调度策略_计算机科学与技术,1,"[0.05276381969451904, 0.947236180305481]","[0.10854752361774445, 0.8914524912834167]"
K_指令指针寄存器_计算机科学与技术,K_中断服务程序_计算机科学与技术,1,"[0.005566810257732868, 0.9944331645965576]","[0.0010069669224321842, 0.9989929795265198]"
K_主引导记录_计算机科学与技术,K_设备驱动程序_计算机科学与技术,1,"[0.16890849173069, 0.8310915231704712]","[0.0872337818145752, 0.9127662181854248]"
K_输出通道_计算机科学与技术,K_指令缓存_计算机科学与技术,1,"[0.05573945492506027, 0.9442605972290039]","[0.02379787713289261, 0.976202130317688]"
K_中断控制_计算机科学与技术,K_系统中断_计算机科学与技术,1,"[0.015711583197116852, 0.9842884540557861]","[0.002112258691340685, 0.9978877305984497]"
K_二进制信号_计算机科学与技术,K_顺序存储器_计算机科学与技术,1,"[0.08237498998641968, 0.9176249504089355]","[0.09711569547653198, 0.902884304523468]"
K_文件分配_计算机科学与技术,K_预分配_计算机科学与技术,1,"[0.12312290072441101, 0.8768770694732666]","[0.24388718605041504, 0.756112813949585]"
K_进程状态_计算机科学与技术,K_允许中断_计算机科学与技术,1,"[0.05609723925590515, 0.9439027309417725]","[0.1286868005990982, 0.8713131546974182]"
K_互联网协议_计算机科学与技术,K_网络打印机_计算机科学与技术,1,"[0.09903636574745178, 0.9009636044502258]","[0.019698984920978546, 0.9803009629249573]"
K_系统中断_计算机科学与技术,K_程序状态_计算机科学与技术,1,"[0.054225530475378036, 0.945774495601654]","[0.020750869065523148, 0.9792490601539612]"
K_有线网络_计算机科学与技术,K_广播网络_计算机科学与技术,1,"[0.02687533013522625, 0.9731247425079346]","[0.08455026894807816, 0.9154496788978577]"
K_中断控制_计算机科学与技术,K_缺页_计算机科学与技术,1,"[0.07961248606443405, 0.9203875064849854]","[0.03743245080113411, 0.9625675678253174]"
K_系统调用表_计算机科学与技术,K_中断服务程序_计算机科学与技术,1,"[0.03174668550491333, 0.9682533740997314]","[0.006113492883741856, 0.9938864707946777]"
K_系统启动_计算机科学与技术,K_完全恢复_计算机科学与技术,1,"[0.25561559200286865, 0.7443844079971313]","[0.17161953449249268, 0.8283804655075073]"
K_中断信号_计算机科学与技术,K_先来先服务_计算机科学与技术,1,"[0.053890012204647064, 0.9461100101470947]","[0.018345143646001816, 0.9816548824310303]"
K_虚拟化技术_计算机科学与技术,K_文件分配_计算机科学与技术,1,"[0.14324337244033813, 0.8567566871643066]","[0.2803552746772766, 0.7196447253227234]"
K_重新启动_计算机科学与技术,K_循环执行_计算机科学与技术,1,"[0.1328195333480835, 0.8671804666519165]","[0.1945975422859192, 0.8054025173187256]"
K_内部中断_计算机科学与技术,K_死锁预防_计算机科学与技术,1,"[0.07023736834526062, 0.929762601852417]","[0.018448062241077423, 0.9815519452095032]"
K_缺页中断_计算机科学与技术,K_多核处理器_计算机科学与技术,1,"[0.026237601414322853, 0.9737623929977417]","[0.02877243608236313, 0.9712275266647339]"
K_文件维护_计算机科学与技术,K_控制块_计算机科学与技术,1,"[0.11535195261240005, 0.8846480846405029]","[0.1781095713376999, 0.8218904137611389]"
K_大容量存储器_计算机科学与技术,K_虚拟存储管理_计算机科学与技术,1,"[0.013045689091086388, 0.9869543313980103]","[0.003627926344051957, 0.9963721036911011]"
K_动态分配内存_计算机科学与技术,K_动态管理_计算机科学与技术,1,"[0.043860696256160736, 0.956139326095581]","[0.030416565015912056, 0.9695833921432495]"
K_错误代码_计算机科学与技术,K_通用操作系统_计算机科学与技术,1,"[0.029964687302708626, 0.9700353145599365]","[0.011785370297729969, 0.9882145524024963]"
K_缺页中断_计算机科学与技术,K_中断服务程序_计算机科学与技术,1,"[0.01184016466140747, 0.9881598353385925]","[0.006615054793655872, 0.9933849573135376]"
K_外部中断_计算机科学与技术,K_纠错_计算机科学与技术,1,"[0.3979682922363281, 0.6020317077636719]","[0.674241304397583, 0.3257587254047394]"
K_调用程序_计算机科学与技术,K_测试驱动程序_计算机科学与技术,1,"[0.10785181075334549, 0.8921481966972351]","[0.19377286732196808, 0.8062271475791931]"
K_管理子系统_计算机科学与技术,K_实时系统_计算机科学与技术,1,"[0.12450076639652252, 0.8754992485046387]","[0.1126636415719986, 0.8873363733291626]"
K_功能块_计算机科学与技术,K_软中断_计算机科学与技术,1,"[0.32123076915740967, 0.6787692308425903]","[0.23628565669059753, 0.7637143731117249]"
K_虚拟地址空间_计算机科学与技术,K_网络打印机_计算机科学与技术,1,"[0.033455125987529755, 0.9665448665618896]","[0.01326649822294712, 0.9867334961891174]"
K_广播网络_计算机科学与技术,K_通信子网_计算机科学与技术,1,"[0.14417622983455658, 0.8558237552642822]","[0.28453582525253296, 0.7154642343521118]"
K_链路状态分组_计算机科学与技术,K_快速以太网_计算机科学与技术,1,"[0.4132236838340759, 0.5867762565612793]","[0.229620099067688, 0.770379900932312]"
K_指令流_计算机科学与技术,K_软中断_计算机科学与技术,1,"[0.007724398281425238, 0.992275595664978]","[0.0018092845566570759, 0.9981906414031982]"
K_操作命令_计算机科学与技术,K_特权指令_计算机科学与技术,1,"[0.011566953733563423, 0.9884330034255981]","[0.0033712084405124187, 0.9966287612915039]"
K_进程创建_计算机科学与技术,K_互操作_计算机科学与技术,1,"[0.13214954733848572, 0.8678504228591919]","[0.1110323965549469, 0.8889676332473755]"
K_阻塞接收_计算机科学与技术,K_网络延时_计算机科学与技术,1,"[0.05391667038202286, 0.9460833072662354]","[0.0486484169960022, 0.9513515830039978]"
K_系统中断_计算机科学与技术,K_调度程序_计算机科学与技术,1,"[0.02268112823367119, 0.9773188829421997]","[0.009483352303504944, 0.9905166625976562]"
K_互联网协议_计算机科学与技术,K_点到点连接_计算机科学与技术,1,"[0.16940101981163025, 0.8305990099906921]","[0.13860903680324554, 0.8613909482955933]"
K_中断机制_计算机科学与技术,K_用户进程_计算机科学与技术,1,"[0.02802012674510479, 0.9719798564910889]","[0.05682581663131714, 0.9431741833686829]"
K_内部中断_计算机科学与技术,K_优先级调度_计算机科学与技术,1,"[0.018308116123080254, 0.981691837310791]","[0.002416600938886404, 0.9975833892822266]"
K_内核服务_计算机科学与技术,K_文件组织_计算机科学与技术,1,"[0.059658899903297424, 0.9403411149978638]","[0.03498973697423935, 0.9650102853775024]"
K_控制线_计算机科学与技术,K_控制总线_计算机科学与技术,1,"[0.030346248298883438, 0.9696537256240845]","[0.006809882819652557, 0.9931901097297668]"
K_储存空间_计算机科学与技术,K_辅助存储器_计算机科学与技术,1,"[0.03422932326793671, 0.9657706618309021]","[0.007655956782400608, 0.9923440217971802]"
K_发送信号_计算机科学与技术,K_控制线_计算机科学与技术,1,"[0.01316935382783413, 0.9868306517601013]","[0.0011507334420457482, 0.9988493323326111]"
K_内部程序_计算机科学与技术,K_设备驱动程序_计算机科学与技术,1,"[0.08657459914684296, 0.9134253263473511]","[0.10665495693683624, 0.893345057964325]"
K_段式存储管理_计算机科学与技术,K_虚拟机管理器_计算机科学与技术,1,"[0.03533899411559105, 0.9646610021591187]","[0.029865752905607224, 0.9701341986656189]"
K_嵌入式控制器_计算机科学与技术,K_实时系统_计算机科学与技术,1,"[0.07838679105043411, 0.9216132164001465]","[0.037283122539520264, 0.9627168774604797]"
K_拓扑关系_计算机科学与技术,K_后集_计算机科学与技术,1,"[0.9399036765098572, 0.06009633094072342]","[0.9178226590156555, 0.0821773111820221]"
K_内部中断_计算机科学与技术,K_纠错_计算机科学与技术,1,"[0.4197600483894348, 0.5802399516105652]","[0.26777899265289307, 0.7322210669517517]"
K_程序指令_计算机科学与技术,K_宏指令_计算机科学与技术,1,"[0.03592553734779358, 0.964074432849884]","[0.0171232707798481, 0.982876718044281]"
K_外存储器_计算机科学与技术,K_存储分配_计算机科学与技术,1,"[0.017778044566512108, 0.9822219610214233]","[0.006337552797049284, 0.993662416934967]"
K_命令接口_计算机科学与技术,K_管理子系统_计算机科学与技术,1,"[0.006741567514836788, 0.9932584166526794]","[0.000911588198505342, 0.99908846616745]"
K_有线网络_计算机科学与技术,K_内部网关协议_计算机科学与技术,1,"[0.06826154887676239, 0.9317384958267212]","[0.14142253994941711, 0.8585774302482605]"
K_段表_计算机科学与技术,K_下一个头_计算机科学与技术,1,"[0.35810601711273193, 0.6418939828872681]","[0.25579071044921875, 0.7442092895507812]"
K_多核处理器_计算机科学与技术,K_调度策略_计算机科学与技术,1,"[0.28264984488487244, 0.7173501253128052]","[0.5666605234146118, 0.4333394169807434]"
K_广播网络_计算机科学与技术,K_快速以太网_计算机科学与技术,1,"[0.05797264724969864, 0.9420273900032043]","[0.04253675416111946, 0.957463264465332]"
K_有线网络_计算机科学与技术,K_多媒体通信_计算机科学与技术,1,"[0.15225908160209656, 0.847740888595581]","[0.06814175844192505, 0.9318583011627197]"
K_指令译码器_计算机科学与技术,K_调用程序_计算机科学与技术,1,"[0.016124527901411057, 0.9838755130767822]","[0.0025244695134460926, 0.9974755644798279]"
K_缺页_计算机科学与技术,K_中断系统_计算机科学与技术,1,"[0.030781812965869904, 0.9692181348800659]","[0.031123507767915726, 0.9688764810562134]"
K_程序状态字寄存器_计算机科学与技术,K_进程创建_计算机科学与技术,1,"[0.017203308641910553, 0.9827966690063477]","[0.02247409150004387, 0.9775259494781494]"
K_电路逻辑_计算机科学与技术,K_指令缓存_计算机科学与技术,1,"[0.03882542625069618, 0.9611745476722717]","[0.028993945568799973, 0.9710060954093933]"
K_高速总线_计算机科学与技术,K_网络打印机_计算机科学与技术,1,"[0.03640482947230339, 0.9635951519012451]","[0.013923355378210545, 0.9860765933990479]"
K_中断机制_计算机科学与技术,K_执行系统_计算机科学与技术,1,"[0.009092905558645725, 0.9909071326255798]","[0.007512042764574289, 0.9924879670143127]"
K_虚拟地址空间_计算机科学与技术,K_互操作_计算机科学与技术,1,"[0.038785383105278015, 0.9612146615982056]","[0.019213519990444183, 0.9807864427566528]"
K_线程控制块_计算机科学与技术,K_指令流_计算机科学与技术,1,"[0.07593943178653717, 0.924060583114624]","[0.08502289652824402, 0.9149771332740784]"
K_宕机_计算机科学与技术,K_互连网络_计算机科学与技术,1,"[0.034757401794195175, 0.9652426242828369]","[0.009784258902072906, 0.9902157783508301]"
K_启动程序_计算机科学与技术,K_中断机制_计算机科学与技术,1,"[0.06870964169502258, 0.9312903881072998]","[0.15279489755630493, 0.8472051620483398]"
K_占用空间_计算机科学与技术,K_内核空间_计算机科学与技术,1,"[0.2274775505065918, 0.772522509098053]","[0.07114852219820023, 0.9288514852523804]"
K_写访问_计算机科学与技术,K_特权指令_计算机科学与技术,1,"[0.07925887405872345, 0.920741081237793]","[0.04389093443751335, 0.9561091065406799]"
K_优先级控制_计算机科学与技术,K_多处理器调度_计算机科学与技术,1,"[0.03191229701042175, 0.9680877327919006]","[0.006609753705561161, 0.9933902621269226]"
K_写访问_计算机科学与技术,K_动态分配内存_计算机科学与技术,1,"[0.09354685246944427, 0.9064531326293945]","[0.0692497193813324, 0.9307502508163452]"
K_变址寄存器_计算机科学与技术,K_进程切换_计算机科学与技术,1,"[0.008717311546206474, 0.9912827014923096]","[0.0038809312973171473, 0.9961190223693848]"
K_系统配置_计算机科学与技术,K_中断系统_计算机科学与技术,1,"[0.010704416781663895, 0.9892956018447876]","[0.00190407270565629, 0.9980959892272949]"
K_指令功能_计算机科学与技术,K_处理器调度_计算机科学与技术,1,"[0.02146180346608162, 0.9785382151603699]","[0.017892830073833466, 0.9821071624755859]"
K_面向对象编程_计算机科学与技术,K_测试驱动程序_计算机科学与技术,1,"[0.10040145367383957, 0.8995985388755798]","[0.06407920271158218, 0.9359208345413208]"
K_代码优化_计算机科学与技术,K_算法正确性_计算机科学与技术,1,"[0.7911303043365479, 0.20886971056461334]","[0.7703099846839905, 0.22969003021717072]"
K_存储分配_计算机科学与技术,K_指令缓存_计算机科学与技术,1,"[0.03249361738562584, 0.9675062894821167]","[0.011157449334859848, 0.9888425469398499]"
K_指令指针寄存器_计算机科学与技术,K_进程复制_计算机科学与技术,1,"[0.008027030155062675, 0.9919729232788086]","[0.004826684948056936, 0.9951732754707336]"
K_逻辑分区_计算机科学与技术,K_命令接口_计算机科学与技术,1,"[0.042994193732738495, 0.9570057988166809]","[0.02060859464108944, 0.9793913960456848]"
K_中断控制器_计算机科学与技术,K_中断系统_计算机科学与技术,1,"[0.011164670810103416, 0.988835334777832]","[0.0032718973234295845, 0.9967280626296997]"
K_高速总线_计算机科学与技术,K_接口分析_计算机科学与技术,1,"[0.4005158245563507, 0.5994841456413269]","[0.21287529170513153, 0.787124752998352]"
K_控制总线_计算机科学与技术,K_系统启动_计算机科学与技术,1,"[0.022100325673818588, 0.9778996706008911]","[0.008134067989885807, 0.9918659329414368]"
K_中断控制器_计算机科学与技术,K_中断服务程序_计算机科学与技术,1,"[0.0162736177444458, 0.9837263822555542]","[0.0018987779039889574, 0.9981012344360352]"
K_系统内核_计算机科学与技术,K_设备驱动程序_计算机科学与技术,1,"[0.03085053153336048, 0.9691494703292847]","[0.011794445104897022, 0.9882055521011353]"
K_访问冲突_计算机科学与技术,K_服务系统_计算机科学与技术,1,"[0.030276216566562653, 0.9697238206863403]","[0.004439278040081263, 0.9955607652664185]"
K_内部网关协议_计算机科学与技术,K_互连网络_计算机科学与技术,1,"[0.05424384027719498, 0.945756196975708]","[0.09755641222000122, 0.902443528175354]"
K_操作命令_计算机科学与技术,K_同步控制_计算机科学与技术,1,"[0.007275225594639778, 0.9927247762680054]","[0.0026270002126693726, 0.9973729848861694]"
K_优先级控制_计算机科学与技术,K_访问策略_计算机科学与技术,1,"[0.049201853573322296, 0.9507981538772583]","[0.011442184448242188, 0.9885578155517578]"
K_控制总线_计算机科学与技术,K_程序状态字寄存器_计算机科学与技术,1,"[0.05990103632211685, 0.9400990009307861]","[0.017006738111376762, 0.9829932451248169]"
K_内部中断_计算机科学与技术,K_中断控制器_计算机科学与技术,1,"[0.013219287618994713, 0.9867807626724243]","[0.0010416599689051509, 0.9989582300186157]"
K_逻辑地址空间_计算机科学与技术,K_网络文件系统_计算机科学与技术,1,"[0.009002100676298141, 0.9909979104995728]","[0.012826702557504177, 0.987173318862915]"
K_编译技术_计算机科学与技术,K_多进程_计算机科学与技术,1,"[0.08502112329006195, 0.9149788618087769]","[0.19864831864833832, 0.8013517260551453]"
K_储存空间_计算机科学与技术,K_文件子系统_计算机科学与技术,1,"[0.011777626350522041, 0.9882223606109619]","[0.0016844643978402019, 0.9983155131340027]"
K_系统调用表_计算机科学与技术,K_程序状态_计算机科学与技术,1,"[0.08477805554866791, 0.9152219295501709]","[0.06933557987213135, 0.9306644201278687]"
K_内部中断_计算机科学与技术,K_内核服务_计算机科学与技术,1,"[0.014681555330753326, 0.9853184223175049]","[0.0018004062585532665, 0.9981995820999146]"
K_储存空间_计算机科学与技术,K_FAT文件系统_计算机科学与技术,1,"[0.009470383636653423, 0.9905296564102173]","[0.0009631003485992551, 0.9990369081497192]"
K_子程序调用指令_计算机科学与技术,K_中断服务程序_计算机科学与技术,1,"[0.021219715476036072, 0.9787802696228027]","[0.003195198718458414, 0.9968047738075256]"
K_控制总线_计算机科学与技术,K_多进程_计算机科学与技术,1,"[0.017705189064145088, 0.9822947978973389]","[0.021243080496788025, 0.9787569046020508]"
K_数据文件_计算机科学与技术,K_视窗操作系统_计算机科学与技术,1,"[0.058593809604644775, 0.9414061307907104]","[0.10461031645536423, 0.8953896164894104]"
K_内核栈_计算机科学与技术,K_服务系统_计算机科学与技术,1,"[0.01130459364503622, 0.9886954426765442]","[0.0008740507182665169, 0.9991258978843689]"
K_管理文件_计算机科学与技术,K_多用户系统_计算机科学与技术,1,"[0.06378938257694244, 0.9362106323242188]","[0.03549913689494133, 0.9645008444786072]"
K_优先级调度_计算机科学与技术,K_调度程序_计算机科学与技术,1,"[0.06284916400909424, 0.9371508359909058]","[0.03331930935382843, 0.9666807651519775]"
K_中断控制_计算机科学与技术,K_先来先服务_计算机科学与技术,1,"[0.12246354669332504, 0.877536416053772]","[0.01888933777809143, 0.981110692024231]"
K_发送信号_计算机科学与技术,K_阻塞接收_计算机科学与技术,1,"[0.06619790196418762, 0.9338021278381348]","[0.006584473419934511, 0.9934155344963074]"
K_系统中断_计算机科学与技术,K_中断控制器_计算机科学与技术,1,"[0.0276755690574646, 0.9723244905471802]","[0.00467481417581439, 0.9953251481056213]"
K_数字信息_计算机科学与技术,K_电话系统_计算机科学与技术,1,"[0.0033530988730490208, 0.9966468811035156]","[0.0011021628743037581, 0.9988978505134583]"
